, , Rank , Pokemon            , Usage %   , Raw    , %       , Real   , %       .1, .1
1, ,1.0, Incineroar         , 39.67606% ,51319.0, 14.625% ,0.0,  0.000% , 
2, ,2.0, Tapu Lele          , 33.24664% ,29395.0,  8.377% ,0.0,  0.000% , 
3, ,3.0, Tapu Fini          , 30.07847% ,28906.0,  8.238% ,0.0,  0.000% , 
4, ,4.0, Landorus-Therian   , 30.06397% ,52043.0, 14.831% ,0.0,  0.000% , 
5, ,5.0, Gengar-Mega        , 20.23012% ,22091.0,  6.296% ,0.0,  0.000% , 
6, ,6.0, Zapdos             , 19.95668% ,25816.0,  7.357% ,0.0,  0.000% , 
7, ,7.0, Zygarde            , 18.83691% ,16018.0,  4.565% ,0.0,  0.000% , 
8, ,8.0, Hoopa-Unbound      , 18.50199% ,8394.0,  2.392% ,0.0,  0.000% , 
9, ,9.0, Metagross-Mega     , 18.34347% ,19716.0,  5.619% ,0.0,  0.000% , 
10, ,10.0, Tapu Bulu          , 17.52122% ,20042.0,  5.712% ,0.0,  0.000% , 
11, ,11.0, Volcanion          , 13.92810% ,9916.0,  2.826% ,0.0,  0.000% , 
12, ,12.0, Diancie            , 12.08497% ,6545.0,  1.865% ,0.0,  0.000% , 
13, ,13.0, Tapu Koko          , 12.06322% ,38028.0, 10.837% ,0.0,  0.000% , 
14, ,14.0, Genesect           , 12.04916% ,12070.0,  3.440% ,0.0,  0.000% , 
15, ,15.0, Amoonguss          , 11.64126% ,23220.0,  6.617% ,0.0,  0.000% , 
16, ,16.0, Kyurem-Black       , 11.63484% ,10760.0,  3.066% ,0.0,  0.000% , 
17, ,17.0, Suicune            , 11.26310% ,8678.0,  2.473% ,0.0,  0.000% , 
18, ,18.0, Kommo-o            , 10.73839% ,20843.0,  5.940% ,0.0,  0.000% , 
19, ,19.0, Stakataka          , 10.56127% ,12287.0,  3.502% ,0.0,  0.000% , 
20, ,20.0, Deoxys-Attack      ,  9.24000% ,8765.0,  2.498% ,0.0,  0.000% , 
21, ,21.0, Diancie-Mega       ,  8.74535% ,8275.0,  2.358% ,0.0,  0.000% , 
22, ,22.0, Kartana            ,  8.68616% ,19729.0,  5.622% ,0.0,  0.000% , 
23, ,23.0, Milotic            ,  8.61118% ,22468.0,  6.403% ,0.0,  0.000% , 
24, ,24.0, Scrafty            ,  8.55393% ,10633.0,  3.030% ,0.0,  0.000% , 
25, ,25.0, Ferrothorn         ,  7.87141% ,20710.0,  5.902% ,0.0,  0.000% , 
26, ,26.0, Bronzong           ,  7.70375% ,8295.0,  2.364% ,0.0,  0.000% , 
27, ,27.0, Torkoal            ,  7.64714% ,10451.0,  2.978% ,0.0,  0.000% , 
28, ,28.0, Volcarona          ,  7.16082% ,18794.0,  5.356% ,0.0,  0.000% , 
29, ,29.0, Smeargle           ,  6.72116% ,8560.0,  2.439% ,0.0,  0.000% , 
30, ,30.0, Togedemaru         ,  6.45926% ,5609.0,  1.598% ,0.0,  0.000% , 
31, ,31.0, Charizard-Mega-Y   ,  6.05085% ,28996.0,  8.263% ,0.0,  0.000% , 
32, ,32.0, Celesteela         ,  5.97711% ,18520.0,  5.278% ,0.0,  0.000% , 
33, ,33.0, Camerupt-Mega      ,  5.92278% ,11463.0,  3.267% ,0.0,  0.000% , 
34, ,34.0, Tyranitar          ,  4.97173% ,16958.0,  4.833% ,0.0,  0.000% , 
35, ,35.0, Victini            ,  4.61980% ,9340.0,  2.662% ,0.0,  0.000% , 
36, ,36.0, Manectric-Mega     ,  4.39150% ,9199.0,  2.622% ,0.0,  0.000% , 
37, ,37.0, Porygon2           ,  4.32071% ,13975.0,  3.983% ,0.0,  0.000% , 
38, ,38.0, Pelipper           ,  4.03432% ,21536.0,  6.137% ,0.0,  0.000% , 
39, ,39.0, Mew                ,  4.00805% ,15438.0,  4.400% ,0.0,  0.000% , 
40, ,40.0, Zeraora            ,  3.98117% ,16209.0,  4.619% ,0.0,  0.000% , 
41, ,41.0, Swampert-Mega      ,  3.82405% ,17439.0,  4.970% ,0.0,  0.000% , 
42, ,42.0, Gothitelle         ,  3.79426% ,5514.0,  1.571% ,0.0,  0.000% , 
43, ,43.0, Blastoise          ,  3.55066% ,3225.0,  0.919% ,0.0,  0.000% , 
44, ,44.0, Kingdra            ,  3.48599% ,9518.0,  2.712% ,0.0,  0.000% , 
45, ,45.0, Aegislash          ,  3.28246% ,18477.0,  5.266% ,0.0,  0.000% , 
46, ,46.0, Mimikyu            ,  3.15930% ,19444.0,  5.541% ,0.0,  0.000% , 
47, ,47.0, Heatran            ,  3.02018% ,14200.0,  4.047% ,0.0,  0.000% , 
48, ,48.0, Salamence-Mega     ,  2.95383% ,12863.0,  3.666% ,0.0,  0.000% , 
49, ,49.0, Ninetales-Alola    ,  2.87567% ,17159.0,  4.890% ,0.0,  0.000% , 
50, ,50.0, Shuckle            ,  2.68084% ,9176.0,  2.615% ,0.0,  0.000% , 
51, ,51.0, Araquanid          ,  2.58431% ,5774.0,  1.645% ,0.0,  0.000% , 
52, ,52.0, Slowking           ,  2.38201% ,1984.0,  0.565% ,0.0,  0.000% , 
53, ,53.0, Tyranitar-Mega     ,  2.34927% ,9072.0,  2.585% ,0.0,  0.000% , 
54, ,54.0, Blissey            ,  2.34010% ,4978.0,  1.419% ,0.0,  0.000% , 
55, ,55.0, Dusclops           ,  2.30292% ,3600.0,  1.026% ,0.0,  0.000% , 
56, ,56.0, Thundurus-Therian  ,  2.18921% ,6344.0,  1.808% ,0.0,  0.000% , 
57, ,57.0, Cresselia          ,  2.08813% ,12665.0,  3.609% ,0.0,  0.000% , 
58, ,58.0, Lurantis           ,  2.07405% ,3222.0,  0.918% ,0.0,  0.000% , 
59, ,59.0, Scizor-Mega        ,  2.03789% ,5395.0,  1.537% ,0.0,  0.000% , 
60, ,60.0, Gardevoir-Mega     ,  1.86564% ,9528.0,  2.715% ,0.0,  0.000% , 
61, ,61.0, Politoed           ,  1.84559% ,11722.0,  3.341% ,0.0,  0.000% , 
62, ,62.0, Whimsicott         ,  1.82181% ,18917.0,  5.391% ,0.0,  0.000% , 
63, ,63.0, Meloetta           ,  1.79379% ,1626.0,  0.463% ,0.0,  0.000% , 
64, ,64.0, Chansey            ,  1.74156% ,7257.0,  2.068% ,0.0,  0.000% , 
65, ,65.0, Excadrill          ,  1.69599% ,11987.0,  3.416% ,0.0,  0.000% , 
66, ,66.0, Ludicolo           ,  1.56166% ,7452.0,  2.124% ,0.0,  0.000% , 
67, ,67.0, Togekiss           ,  1.51327% ,13150.0,  3.748% ,0.0,  0.000% , 
