, , Rank , Pokemon            , Usage %   , Raw    , %       , Real   , %       .1, .1
1, ,1.0, Landorus-Therian   , 39.72638% ,1091579.0, 27.220% ,934242.0, 30.406% , 
2, ,2.0, Magearna           , 24.63692% ,485898.0, 12.117% ,384254.0, 12.506% , 
3, ,3.0, Ferrothorn         , 18.79964% ,616672.0, 15.378% ,523679.0, 17.044% , 
4, ,4.0, Tornadus-Therian   , 18.32538% ,322630.0,  8.045% ,250457.0,  8.151% , 
5, ,5.0, Heatran            , 17.82369% ,552336.0, 13.773% ,452782.0, 14.736% , 
6, ,6.0, Kartana            , 17.76187% ,460699.0, 11.488% ,335951.0, 10.934% , 
7, ,7.0, Toxapex            , 16.80408% ,387099.0,  9.653% ,299723.0,  9.755% , 
8, ,8.0, Chansey            , 15.33086% ,301223.0,  7.511% ,227799.0,  7.414% , 
9, ,9.0, Greninja-Ash       , 14.87030% ,642945.0, 16.033% ,465700.0, 15.157% , 
10, ,10.0, Skarmory           , 13.37998% ,213210.0,  5.317% ,176097.0,  5.731% , 
11, ,11.0, Tapu Koko          , 13.33644% ,582109.0, 14.516% ,461697.0, 15.027% , 
12, ,12.0, Clefable           , 12.60868% ,235077.0,  5.862% ,172950.0,  5.629% , 
13, ,13.0, Rotom-Wash         , 11.85668% ,378605.0,  9.441% ,316575.0, 10.303% , 
14, ,14.0, Gliscor            , 11.65094% ,380786.0,  9.495% ,295077.0,  9.604% , 
15, ,15.0, Zapdos             , 10.83975% ,365376.0,  9.111% ,291247.0,  9.479% , 
16, ,16.0, Tapu Lele          , 10.78839% ,377744.0,  9.420% ,282134.0,  9.182% , 
17, ,17.0, Tapu Fini          , 10.40908% ,287667.0,  7.173% ,234704.0,  7.639% , 
18, ,18.0, Latias-Mega        , 10.02600% ,86516.0,  2.157% ,64144.0,  2.088% , 
19, ,19.0, Excadrill          ,  9.18279% ,318411.0,  7.940% ,248894.0,  8.101% , 
20, ,20.0, Kommo-o            ,  8.67378% ,228088.0,  5.688% ,167956.0,  5.466% , 
21, ,21.0, Garchomp           ,  8.51255% ,391873.0,  9.772% ,308156.0, 10.029% , 
22, ,22.0, Scizor-Mega        ,  8.44416% ,209947.0,  5.235% ,160099.0,  5.211% , 
23, ,23.0, Lopunny-Mega       ,  8.38895% ,232648.0,  5.801% ,178997.0,  5.826% , 
24, ,24.0, Tapu Bulu          ,  8.35095% ,277777.0,  6.927% ,211554.0,  6.885% , 
25, ,25.0, Medicham-Mega      ,  8.29473% ,207045.0,  5.163% ,162078.0,  5.275% , 
26, ,26.0, Mawile-Mega        ,  7.77641% ,212209.0,  5.292% ,155708.0,  5.068% , 
27, ,27.0, Victini            ,  7.71283% ,257745.0,  6.427% ,197963.0,  6.443% , 
28, ,28.0, Celesteela         ,  7.52762% ,272214.0,  6.788% ,215844.0,  7.025% , 
29, ,29.0, Swampert-Mega      ,  7.16364% ,207458.0,  5.173% ,168375.0,  5.480% , 
30, ,30.0, Ditto              ,  6.92763% ,82637.0,  2.061% ,59873.0,  1.949% , 
31, ,31.0, Greninja           ,  6.91919% ,360043.0,  8.978% ,272244.0,  8.861% , 
32, ,32.0, Serperior          ,  6.88024% ,374884.0,  9.348% ,272031.0,  8.854% , 
33, ,33.0, Pelipper           ,  6.87326% ,208024.0,  5.187% ,189982.0,  6.183% , 
34, ,34.0, Magnezone          ,  6.55591% ,250404.0,  6.244% ,194787.0,  6.340% , 
35, ,35.0, Jirachi            ,  6.01405% ,176530.0,  4.402% ,133980.0,  4.361% , 
36, ,36.0, Keldeo             ,  5.81150% ,118309.0,  2.950% ,89449.0,  2.911% , 
37, ,37.0, Tangrowth          ,  5.78440% ,189414.0,  4.723% ,145520.0,  4.736% , 
38, ,38.0, Tyranitar          ,  5.61803% ,232411.0,  5.795% ,183017.0,  5.957% , 
39, ,39.0, Sableye-Mega       ,  5.33751% ,131731.0,  3.285% ,114069.0,  3.713% , 
40, ,40.0, Hawlucha           ,  5.12577% ,264296.0,  6.591% ,179805.0,  5.852% , 
41, ,41.0, Blacephalon        ,  4.65209% ,182890.0,  4.561% ,131009.0,  4.264% , 
42, ,42.0, Weavile            ,  4.45363% ,136645.0,  3.407% ,99850.0,  3.250% , 
43, ,43.0, Diancie-Mega       ,  4.39944% ,148689.0,  3.708% ,119566.0,  3.891% , 
44, ,44.0, Venusaur-Mega      ,  4.23675% ,152076.0,  3.792% ,117722.0,  3.831% , 
45, ,45.0, Kyurem-Black       ,  4.18745% ,189494.0,  4.725% ,139959.0,  4.555% , 
46, ,46.0, Volcarona          ,  4.10826% ,296826.0,  7.402% ,212808.0,  6.926% , 
47, ,47.0, Gastrodon          ,  3.83642% ,66064.0,  1.647% ,52650.0,  1.714% , 
48, ,48.0, Bisharp            ,  3.81685% ,95214.0,  2.374% ,67589.0,  2.200% , 
49, ,49.0, Azumarill          ,  3.72768% ,183376.0,  4.573% ,137356.0,  4.470% , 
50, ,50.0, Pinsir-Mega        ,  3.66845% ,93518.0,  2.332% ,65502.0,  2.132% , 
51, ,51.0, Manaphy            ,  3.62821% ,75772.0,  1.889% ,54418.0,  1.771% , 
52, ,52.0, Alakazam-Mega      ,  3.53552% ,229401.0,  5.720% ,151254.0,  4.923% , 
53, ,53.0, Hoopa-Unbound      ,  3.41170% ,73040.0,  1.821% ,51169.0,  1.665% , 
54, ,54.0, Charizard-Mega-Y   ,  3.33775% ,202363.0,  5.046% ,158691.0,  5.165% , 
55, ,55.0, Charizard-Mega-X   ,  3.19274% ,272279.0,  6.790% ,202398.0,  6.587% , 
56, ,56.0, Gyarados-Mega      ,  3.14596% ,137842.0,  3.437% ,104271.0,  3.394% , 
57, ,57.0, Tyranitar-Mega     ,  3.02251% ,150303.0,  3.748% ,113593.0,  3.697% , 
58, ,58.0, Thundurus-Therian  ,  2.95686% ,70922.0,  1.769% ,55328.0,  1.801% , 
59, ,59.0, Hippowdon          ,  2.88734% ,51286.0,  1.279% ,44498.0,  1.448% , 
60, ,60.0, Reuniclus          ,  2.80440% ,51754.0,  1.291% ,36952.0,  1.203% , 
61, ,61.0, Marowak-Alola      ,  2.51294% ,66342.0,  1.654% ,50353.0,  1.639% , 
62, ,62.0, Alomomola          ,  2.19056% ,25297.0,  0.631% ,19814.0,  0.645% , 
63, ,63.0, Mimikyu            ,  2.09128% ,147854.0,  3.687% ,103055.0,  3.354% , 
64, ,64.0, Dragonite          ,  2.06632% ,179674.0,  4.480% ,129501.0,  4.215% , 
65, ,65.0, Mew                ,  2.05681% ,98001.0,  2.444% ,76252.0,  2.482% , 
66, ,66.0, Shedinja           ,  1.88708% ,20130.0,  0.502% ,13826.0,  0.450% , 
67, ,67.0, Crawdaunt          ,  1.80408% ,52333.0,  1.305% ,38656.0,  1.258% , 
68, ,68.0, Cresselia          ,  1.73650% ,54179.0,  1.351% ,41423.0,  1.348% , 
69, ,69.0, Hydreigon          ,  1.71787% ,75651.0,  1.886% ,56563.0,  1.841% , 
70, ,70.0, Ribombee           ,  1.60596% ,54429.0,  1.357% ,47782.0,  1.555% , 
71, ,71.0, Latios-Mega        ,  1.59712% ,41350.0,  1.031% ,30768.0,  1.001% , 
72, ,72.0, Scizor             ,  1.58206% ,75578.0,  1.885% ,57200.0,  1.862% , 
73, ,73.0, Slowbro            ,  1.51516% ,39772.0,  0.992% ,31228.0,  1.016% , 
74, ,74.0, Kingdra            ,  1.51187% ,60189.0,  1.501% ,42490.0,  1.383% , 
75, ,75.0, Slowbro-Mega       ,  1.46434% ,22465.0,  0.560% ,17278.0,  0.562% , 
76, ,76.0, Gyarados           ,  1.41979% ,103473.0,  2.580% ,78732.0,  2.562% , 
77, ,77.0, Garchomp-Mega      ,  1.38360% ,65336.0,  1.629% ,48405.0,  1.575% , 
78, ,78.0, Amoonguss          ,  1.32900% ,46709.0,  1.165% ,35231.0,  1.147% , 
79, ,79.0, Muk-Alola          ,  1.28159% ,78663.0,  1.962% ,60394.0,  1.966% , 
80, ,80.0, Quagsire           ,  1.27326% ,46575.0,  1.161% ,34402.0,  1.120% , 
81, ,81.0, Mamoswine          ,  1.06578% ,69734.0,  1.739% ,56288.0,  1.832% , 
82, ,82.0, Kyurem             ,  0.99083% ,20611.0,  0.514% ,15143.0,  0.493% , 
83, ,83.0, Seismitoad         ,  0.97997% ,28159.0,  0.702% ,24405.0,  0.794% , 
84, ,84.0, Araquanid          ,  0.94463% ,72542.0,  1.809% ,62163.0,  2.023% , 
85, ,85.0, Alakazam           ,  0.90687% ,55338.0,  1.380% ,36704.0,  1.195% , 
86, ,86.0, Salamence          ,  0.87789% ,88991.0,  2.219% ,63730.0,  2.074% , 
87, ,87.0, Venusaur           ,  0.86378% ,60093.0,  1.499% ,45635.0,  1.485% , 
88, ,88.0, Zeraora            ,  0.85341% ,81593.0,  2.035% ,61255.0,  1.994% , 
89, ,89.0, Torkoal            ,  0.82713% ,63982.0,  1.595% ,58771.0,  1.913% , 
90, ,90.0, Heracross-Mega     ,  0.78747% ,52534.0,  1.310% ,37672.0,  1.226% , 
91, ,91.0, Breloom            ,  0.75738% ,107324.0,  2.676% ,80143.0,  2.608% , 
92, ,92.0, Volcanion          ,  0.75284% ,50440.0,  1.258% ,39409.0,  1.283% , 
93, ,93.0, Meloetta           ,  0.73246% ,10553.0,  0.263% ,7315.0,  0.238% , 
94, ,94.0, Buzzwole           ,  0.72869% ,55864.0,  1.393% ,41040.0,  1.336% , 
95, ,95.0, Diggersby          ,  0.72804% ,27088.0,  0.675% ,20522.0,  0.668% , 
96, ,96.0, Uxie               ,  0.72294% ,25450.0,  0.635% ,23908.0,  0.778% , 
97, ,97.0, Ninetales-Alola    ,  0.70339% ,87641.0,  2.185% ,70439.0,  2.293% , 
98, ,98.0, Togekiss           ,  0.69840% ,68230.0,  1.701% ,49043.0,  1.596% , 
99, ,99.0, Conkeldurr         ,  0.67439% ,68947.0,  1.719% ,51946.0,  1.691% , 
100, ,100.0, Camerupt-Mega      ,  0.66206% ,20876.0,  0.521% ,16667.0,  0.542% , 
101, ,101.0, Thundurus          ,  0.66024% ,36085.0,  0.900% ,27820.0,  0.905% , 
102, ,102.0, Tentacruel         ,  0.63333% ,41065.0,  1.024% ,31457.0,  1.024% , 
