Rank,Pokemon,Weighted Usage %
1,Incineroar,32.26303
2,Landorus-Therian,29.07511
3,Tapu Koko,28.95283
4,Zygarde,27.59121
5,Tapu Bulu,26.07613
6,Tapu Fini,24.34733
7,Metagross-Mega,22.58325
8,Tapu Lele,18.92246
9,Kyurem-Black,14.51721
10,Zapdos,14.19185
11,Suicune,14.19043
12,Hoopa-Unbound,13.34008
13,Volcanion,11.4395
14,Amoonguss,11.08634
15,Gengar-Mega,10.67197
16,Ferrothorn,10.08855
17,Scrafty,9.67428
18,Charizard-Mega-Y,9.07502
19,Meloetta,8.71965
20,Aegislash,7.873
21,Genesect,7.7349
22,Whimsicott,7.39266
23,Tyranitar,6.77177
24,Scizor-Mega,6.56604
25,Kommo-o,6.39704
26,Mimikyu,6.26177
27,Pelipper,6.15157
28,Salamence-Mega,6.07242
29,Shuckle,5.81282
30,Heatran,5.49985
31,Blaziken-Mega,5.25031
32,Staraptor,5.22566
33,Kartana,5.08537
34,Kingdra,5.04589
35,Blissey,4.9852
36,Gyarados-Mega,4.95838
37,Diancie-Mega,4.78142
38,Porygon2,4.26981
39,Aerodactyl,4.20794
40,Excadrill,4.13868
41,Volcarona,3.96929
42,Gothitelle,3.88308
43,Milotic,3.85191
44,Celesteela,3.71426
45,Ludicolo,3.69554
46,Mew,3.64716
47,Pheromosa,3.52658
48,Tyranitar-Mega,3.48918
49,Ninetales-Alola,3.44732
50,Necrozma,3.34774
51,Cresselia,3.26686
52,Stakataka,3.02687
53,Swampert-Mega,3.02625
54,Manectric-Mega,2.88173
55,Gastrodon,2.77028
56,Deoxys-Attack,2.70215
57,Smeargle,2.55465
58,Araquanid,2.3823
59,Gigalith,2.3339
60,Scizor,2.28788
61,Mawile-Mega,2.23085
62,Diancie,2.21936
63,Hippowdon,2.1362
64,Camerupt-Mega,1.86149
65,Rotom-Wash,1.80505
66,Shaymin-Sky,1.7859
67,Victini,1.69555
68,Abomasnow-Mega,1.66205
69,Hawlucha,1.64482
70,Typhlosion,1.59693
71,Gardevoir-Mega,1.58011
72,Bronzong,1.55529
73,Hitmontop,1.53653
74,Garchomp,1.53415
75,Charizard-Mega-X,1.43457
76,Togedemaru,1.30192
77,Azumarill,1.29479
78,Naganadel,1.1918
79,Dusclops,1.19059
80,Heracross-Mega,1.16385
81,Primarina,1.0849
82,Greninja-Ash,1.0516
83,Tornadus,1.03568
