Rank,Pokemon,Weighted Usage %
1,Landorus-Therian,41.60409
2,Magearna,24.59911
3,Heatran,23.8491
4,Tornadus-Therian,21.77382
5,Greninja-Ash,21.12466
6,Ferrothorn,19.56547
7,Zygarde,18.07357
8,Toxapex,15.65918
9,Mawile-Mega,14.64747
10,Chansey,14.55647
11,Clefable,14.20975
12,Excadrill,13.58351
13,Kartana,12.46966
14,Zapdos,12.38464
15,Tapu Koko,12.32177
16,Tangrowth,11.96477
17,Tapu Bulu,11.37421
18,Greninja,11.19571
19,Tapu Lele,10.94647
20,Skarmory,9.1888
21,Serperior,8.00733
22,Scizor-Mega,7.71401
23,Celesteela,7.37605
24,Medicham-Mega,7.08009
25,Blacephalon,6.5799
26,Swampert-Mega,6.57152
27,Gliscor,6.49595
28,Rotom-Wash,6.46194
29,Pelipper,6.40521
30,Sableye-Mega,6.16882
31,Garchomp,6.09224
32,Alakazam-Mega,5.84802
33,Keldeo,5.66621
34,Tapu Fini,5.57008
35,Pinsir-Mega,5.0022
36,Lopunny-Mega,4.85708
37,Reuniclus,4.76958
38,Tyranitar-Mega,4.67018
39,Mimikyu,4.40589
40,Charizard-Mega-X,4.34333
41,Magnezone,4.32841
42,Tyranitar,4.15752
43,Gyarados-Mega,4.10011
44,Bisharp,4.02417
45,Hawlucha,3.98383
46,Volcarona,3.94598
47,Venusaur-Mega,3.93203
48,Kyurem-Black,3.66019
49,Victini,3.58414
50,Hippowdon,3.57452
51,Manaphy,3.56283
52,Jirachi,3.50656
53,Gastrodon,3.47589
54,Latias-Mega,3.22187
55,Hydreigon,3.22059
56,Hoopa-Unbound,3.07459
57,Weavile,2.98339
58,Mew,2.83118
59,Ditto,2.81173
60,Kingdra,2.7834
61,Diancie-Mega,2.74426
62,Araquanid,2.73799
63,Charizard-Mega-Y,2.35808
64,Slowbro,2.31141
65,Ribombee,2.25544
66,Heracross-Mega,2.24538
67,Gyarados,2.22575
68,Latios-Mega,2.1999
69,Quagsire,2.15959
70,Amoonguss,2.14483
71,Ninetales-Alola,2.12715
72,Latios,1.67696
73,Thundurus-Therian,1.62717
74,Tentacruel,1.50353
75,Crawdaunt,1.49864
76,Kommo-o,1.42186
77,Moltres,1.35919
78,Zeraora,1.32056
79,Dragonite,1.2859
80,Buzzwole,1.13073
81,Avalugg,1.09822
82,Alomomola,1.03067
83,Talonflame,1.02451
