 Total battles: 161873
 Avg. weight/team: 0.015
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 28.55258% | 34928  | 10.789% | 0      |  0.000% | 
 | 2    | Tapu Fini          | 25.91167% | 26679  |  8.241% | 0      |  0.000% | 
 | 3    | Tapu Lele          | 25.68741% | 26190  |  8.090% | 0      |  0.000% | 
 | 4    | Marshadow          | 25.68150% | 20624  |  6.370% | 0      |  0.000% | 
 | 5    | Hoopa-Unbound      | 20.92453% | 9501   |  2.935% | 0      |  0.000% | 
 | 6    | Zapdos             | 19.40952% | 20616  |  6.368% | 0      |  0.000% | 
 | 7    | Heatran            | 18.54112% | 17478  |  5.399% | 0      |  0.000% | 
 | 8    | Aegislash          | 18.13509% | 17744  |  5.481% | 0      |  0.000% | 
 | 9    | Tapu Koko          | 16.73820% | 42082  | 12.998% | 0      |  0.000% | 
 | 10   | Salamence-Mega     | 15.58280% | 11529  |  3.561% | 0      |  0.000% | 
 | 11   | Tapu Bulu          | 15.55973% | 13752  |  4.248% | 0      |  0.000% | 
 | 12   | Whimsicott         | 15.20121% | 16816  |  5.194% | 0      |  0.000% | 
 | 13   | Deoxys-Attack      | 13.36144% | 8167   |  2.523% | 0      |  0.000% | 
 | 14   | Zygarde            | 13.13895% | 8301   |  2.564% | 0      |  0.000% | 
 | 15   | Diancie-Mega       | 12.41252% | 8414   |  2.599% | 0      |  0.000% | 
 | 16   | Amoonguss          | 11.40592% | 13296  |  4.107% | 0      |  0.000% | 
 | 17   | Volcarona          | 10.97931% | 18300  |  5.653% | 0      |  0.000% | 
 | 18   | Charizard-Mega-Y   | 10.23325% | 26708  |  8.250% | 0      |  0.000% | 
 | 19   | Scrafty            | 10.20667% | 8121   |  2.508% | 0      |  0.000% | 
 | 20   | Diancie            |  9.56417% | 4635   |  1.432% | 0      |  0.000% | 
 | 21   | Weavile            |  8.70992% | 14332  |  4.427% | 0      |  0.000% | 
 | 22   | Ferrothorn         |  8.55189% | 19218  |  5.936% | 0      |  0.000% | 
 | 23   | Gyarados-Mega      |  7.73340% | 6062   |  1.872% | 0      |  0.000% | 
 | 24   | Kyurem-Black       |  7.67937% | 6262   |  1.934% | 0      |  0.000% | 
 | 25   | Gardevoir-Mega     |  7.59657% | 10113  |  3.124% | 0      |  0.000% | 
 | 26   | Bronzong           |  7.54644% | 5998   |  1.853% | 0      |  0.000% | 
 | 27   | Celesteela         |  7.21590% | 26888  |  8.305% | 0      |  0.000% | 
 | 28   | Volcanion          |  6.76288% | 8014   |  2.475% | 0      |  0.000% | 
 | 29   | Tyranitar          |  6.34486% | 15982  |  4.937% | 0      |  0.000% | 
 | 30   | Kartana            |  6.14594% | 17740  |  5.480% | 0      |  0.000% | 
 | 31   | Pelipper           |  5.49835% | 23682  |  7.315% | 0      |  0.000% | 
