 Total battles: 1928721
 Avg. weight/team: 0.004
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 40.42436% | 1049317 | 27.202% | 897660 | 30.569% | 
 | 2    | Magearna           | 26.11410% | 399627 | 10.360% | 312585 | 10.645% | 
 | 3    | Heatran            | 22.12863% | 611418 | 15.850% | 505755 | 17.223% | 
 | 4    | Clefable           | 18.92449% | 340185 |  8.819% | 255444 |  8.699% | 
 | 5    | Chansey            | 18.83865% | 307271 |  7.966% | 232090 |  7.904% | 
 | 6    | Zygarde            | 17.57293% | 388558 | 10.073% | 284785 |  9.698% | 
 | 7    | Tapu Koko          | 16.95828% | 550110 | 14.261% | 437376 | 14.894% | 
 | 8    | Greninja-Ash       | 16.56466% | 599389 | 15.539% | 440327 | 14.995% | 
 | 9    | Zapdos             | 16.44210% | 362034 |  9.385% | 289320 |  9.852% | 
 | 10   | Toxapex            | 15.50543% | 363195 |  9.415% | 279175 |  9.507% | 
 | 11   | Ferrothorn         | 15.17344% | 588896 | 15.266% | 498838 | 16.987% | 
 | 12   | Tornadus-Therian   | 15.07907% | 263850 |  6.840% | 207686 |  7.072% | 
 | 13   | Greninja           | 13.13883% | 367480 |  9.527% | 282702 |  9.627% | 
 | 14   | Tapu Bulu          | 12.45171% | 299761 |  7.771% | 232110 |  7.904% | 
 | 15   | Tangrowth          | 12.35590% | 245596 |  6.367% | 190808 |  6.498% | 
 | 16   | Skarmory           | 11.72566% | 203539 |  5.277% | 166005 |  5.653% | 
 | 17   | Tapu Lele          | 11.35975% | 310845 |  8.058% | 232088 |  7.903% | 
 | 18   | Kartana            | 11.33499% | 410466 | 10.641% | 298279 | 10.158% | 
 | 19   | Excadrill          | 10.19294% | 283404 |  7.347% | 218552 |  7.443% | 
 | 20   | Mawile-Mega        |  9.46409% | 228897 |  5.934% | 166540 |  5.671% | 
 | 21   | Scizor-Mega        |  8.05390% | 239722 |  6.215% | 185336 |  6.311% | 
 | 22   | Alakazam-Mega      |  7.89846% | 270386 |  7.009% | 179707 |  6.120% | 
 | 23   | Medicham-Mega      |  7.87950% | 181620 |  4.708% | 140914 |  4.799% | 
 | 24   | Sableye-Mega       |  7.48347% | 128068 |  3.320% | 109975 |  3.745% | 
 | 25   | Keldeo             |  7.34716% | 144711 |  3.751% | 109886 |  3.742% | 
 | 26   | Hippowdon          |  6.96185% | 56024  |  1.452% | 47885  |  1.631% | 
 | 27   | Tapu Fini          |  6.73051% | 211525 |  5.484% | 172407 |  5.871% | 
 | 28   | Venusaur-Mega      |  6.39211% | 148650 |  3.854% | 114109 |  3.886% | 
 | 29   | Serperior          |  6.29013% | 266653 |  6.913% | 192569 |  6.558% | 
 | 30   | Volcarona          |  6.28743% | 272654 |  7.068% | 194774 |  6.633% | 
 | 31   | Magnezone          |  6.20505% | 209858 |  5.440% | 162699 |  5.541% | 
 | 32   | Hawlucha           |  6.06597% | 250209 |  6.486% | 168569 |  5.740% | 
 | 33   | Gliscor            |  5.74521% | 332198 |  8.612% | 256886 |  8.748% | 
 | 34   | Celesteela         |  5.56882% | 248947 |  6.454% | 195554 |  6.659% | 
 | 35   | Blacephalon        |  5.41319% | 200996 |  5.211% | 145027 |  4.939% | 
 | 36   | Kyurem-Black       |  5.40737% | 189238 |  4.906% | 141229 |  4.809% | 
 | 37   | Rotom-Wash         |  4.73463% | 277136 |  7.184% | 230068 |  7.835% | 
 | 38   | Charizard-Mega-X   |  4.66640% | 258636 |  6.705% | 193848 |  6.601% | 
 | 39   | Bisharp            |  4.55330% | 161828 |  4.195% | 113369 |  3.861% | 
 | 40   | Garchomp           |  4.52575% | 280693 |  7.277% | 213802 |  7.281% | 
 | 41   | Gastrodon          |  4.49809% | 145993 |  3.785% | 114905 |  3.913% | 
 | 42   | Lopunny-Mega       |  4.46702% | 210651 |  5.461% | 161121 |  5.487% | 
 | 43   | Latias-Mega        |  4.46518% | 33570  |  0.870% | 23887  |  0.813% | 
 | 44   | Pinsir-Mega        |  4.44854% | 136595 |  3.541% | 96058  |  3.271% | 
 | 45   | Jirachi            |  4.36406% | 128379 |  3.328% | 96053  |  3.271% | 
 | 46   | Tyranitar          |  4.30541% | 225280 |  5.840% | 175074 |  5.962% | 
 | 47   | Swampert-Mega      |  3.98043% | 170649 |  4.424% | 137783 |  4.692% | 
 | 48   | Gyarados-Mega      |  3.84829% | 157375 |  4.080% | 117573 |  4.004% | 
 | 49   | Pelipper           |  3.67365% | 167877 |  4.352% | 153424 |  5.225% | 
 | 50   | Hoopa-Unbound      |  3.53150% | 125127 |  3.244% | 87376  |  2.975% | 
 | 51   | Diancie-Mega       |  3.37072% | 86948  |  2.254% | 70402  |  2.397% | 
 | 52   | Quagsire           |  3.21202% | 41623  |  1.079% | 30726  |  1.046% | 
 | 53   | Victini            |  3.03584% | 160221 |  4.154% | 121959 |  4.153% | 
 | 54   | Mew                |  2.98499% | 145330 |  3.768% | 112177 |  3.820% | 
 | 55   | Charizard-Mega-Y   |  2.87321% | 221478 |  5.742% | 175242 |  5.968% | 
 | 56   | Manaphy            |  2.72322% | 48583  |  1.259% | 34424  |  1.172% | 
 | 57   | Ninetales-Alola    |  2.71963% | 129721 |  3.363% | 102873 |  3.503% | 
 | 58   | Tyranitar-Mega     |  2.52746% | 93769  |  2.431% | 70320  |  2.395% | 
 | 59   | Reuniclus          |  2.46720% | 46513  |  1.206% | 33049  |  1.125% | 
 | 60   | Weavile            |  2.40998% | 128077 |  3.320% | 92323  |  3.144% | 
 | 61   | Mimikyu            |  2.37916% | 230577 |  5.977% | 159443 |  5.430% | 
 | 62   | Latios-Mega        |  2.28150% | 81287  |  2.107% | 59370  |  2.022% | 
 | 63   | Hydreigon          |  2.10502% | 77637  |  2.013% | 57887  |  1.971% | 
 | 64   | Crawdaunt          |  2.05192% | 49111  |  1.273% | 35841  |  1.221% | 
 | 65   | Muk-Alola          |  1.88826% | 77497  |  2.009% | 60068  |  2.046% | 
 | 66   | Moltres            |  1.81708% | 20033  |  0.519% | 15240  |  0.519% | 
 | 67   | Amoonguss          |  1.65660% | 47396  |  1.229% | 34809  |  1.185% | 
 | 68   | Latios             |  1.45636% | 121372 |  3.146% | 86404  |  2.942% | 
