 Total battles: 62040
 Avg. weight/team: 0.003
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 37.54257% | 7445   |  6.000% | 5069   |  6.973% | 
 | 2    | Magearna           | 34.28526% | 13399  | 10.799% | 7987   | 10.987% | 
 | 3    | Kangaskhan-Mega    | 24.77079% | 3946   |  3.180% | 2306   |  3.172% | 
 | 4    | Zygarde            | 21.86936% | 6195   |  4.993% | 3867   |  5.320% | 
 | 5    | Tapu Lele          | 20.67947% | 9543   |  7.691% | 5619   |  7.730% | 
 | 6    | Jirachi            | 20.43770% | 3448   |  2.779% | 2187   |  3.009% | 
 | 7    | Heatran            | 19.12695% | 3793   |  3.057% | 2487   |  3.421% | 
 | 8    | Salamence-Mega     | 17.96741% | 4196   |  3.382% | 2617   |  3.600% | 
 | 9    | Tapu Koko          | 15.46423% | 18214  | 14.679% | 10117  | 13.917% | 
 | 10   | Charizard-Mega-Y   | 12.71819% | 6862   |  5.530% | 4039   |  5.556% | 
 | 11   | Aegislash          | 12.69656% | 6459   |  5.206% | 4014   |  5.522% | 
 | 12   | Celesteela         | 11.96604% | 7767   |  6.260% | 4768   |  6.559% | 
 | 13   | Hitmontop          | 11.40020% | 1754   |  1.414% | 1119   |  1.539% | 
 | 14   | Cresselia          | 10.75104% | 2498   |  2.013% | 1366   |  1.879% | 
 | 15   | Tapu Bulu          | 10.49118% | 7516   |  6.057% | 4397   |  6.049% | 
 | 16   | Tapu Fini          |  9.32943% | 5840   |  4.707% | 3532   |  4.859% | 
 | 17   | Volcanion          |  9.27066% | 3586   |  2.890% | 2239   |  3.080% | 
 | 18   | Amoonguss          |  9.00914% | 3635   |  2.930% | 2323   |  3.196% | 
 | 19   | Staraptor          |  8.50155% | 1302   |  1.049% | 799    |  1.099% | 
 | 20   | Ninetales-Alola    |  8.49460% | 10707  |  8.629% | 5518   |  7.591% | 
 | 21   | Gengar-Mega        |  8.02911% | 1820   |  1.467% | 1001   |  1.377% | 
 | 22   | Pheromosa          |  7.80375% | 7412   |  5.974% | 4276   |  5.882% | 
 | 23   | Pelipper           |  7.50521% | 7211   |  5.812% | 4379   |  6.024% | 
 | 24   | Deoxys-Attack      |  6.82847% | 807    |  0.650% | 477    |  0.656% | 
 | 25   | Marowak-Alola      |  6.76677% | 11065  |  8.918% | 6954   |  9.566% | 
 | 26   | Venusaur-Mega      |  6.45984% | 1789   |  1.442% | 1104   |  1.519% | 
 | 27   | Hoopa-Unbound      |  6.17031% | 1381   |  1.113% | 809    |  1.113% | 
 | 28   | Xurkitree          |  5.89913% | 8700   |  7.012% | 5351   |  7.361% | 
 | 29   | Gastrodon          |  5.65595% | 1968   |  1.586% | 1268   |  1.744% | 
 | 30   | Kingdra            |  5.52945% | 1916   |  1.544% | 1173   |  1.614% | 
 | 31   | Oranguru           |  5.38907% | 22562  | 18.183% | 12723  | 17.502% | 
 | 32   | Rotom-Wash         |  5.25213% | 2307   |  1.859% | 1475   |  2.029% | 
 | 33   | Arcanine           |  5.06790% | 4262   |  3.435% | 2654   |  3.651% | 
 | 34   | Shaymin-Sky        |  4.99980% | 581    |  0.468% | 355    |  0.488% | 
 | 35   | Scrafty            |  4.70141% | 2037   |  1.642% | 1360   |  1.871% | 
 | 36   | Torkoal            |  4.50851% | 3916   |  3.156% | 2447   |  3.366% | 
 | 37   | Ninetales          |  4.48439% | 1314   |  1.059% | 707    |  0.973% | 
 | 38   | Raichu             |  4.24954% | 2109   |  1.700% | 1411   |  1.941% | 
 | 39   | Milotic            |  4.21310% | 1803   |  1.453% | 1069   |  1.471% | 
 | 40   | Hydreigon          |  4.18576% | 1422   |  1.146% | 849    |  1.168% | 
 | 41   | Salazzle           |  4.08855% | 8686   |  7.000% | 4886   |  6.721% | 
 | 42   | Azumarill          |  3.90529% | 3294   |  2.655% | 2060   |  2.834% | 
 | 43   | Suicune            |  3.69406% | 927    |  0.747% | 583    |  0.802% | 
 | 44   | Landorus           |  3.52783% | 1569   |  1.265% | 950    |  1.307% | 
 | 45   | Exeggutor-Alola    |  3.43600% | 5736   |  4.623% | 3408   |  4.688% | 
 | 46   | Diancie            |  3.43428% | 989    |  0.797% | 542    |  0.746% | 
 | 47   | Kommo-o            |  3.40036% | 6078   |  4.898% | 3638   |  5.005% | 
 | 48   | Kartana            |  3.36219% | 7562   |  6.094% | 4423   |  6.084% | 
 | 49   | Mimikyu            |  3.12836% | 11426  |  9.209% | 6303   |  8.671% | 
 | 50   | Zapdos             |  3.07807% | 1936   |  1.560% | 1135   |  1.561% | 
 | 51   | Kyurem-Black       |  2.82171% | 1314   |  1.059% | 738    |  1.015% | 
 | 52   | Raichu-Alola       |  2.72884% | 12651  | 10.196% | 7967   | 10.960% | 
 | 53   | Politoed           |  2.63247% | 2370   |  1.910% | 1321   |  1.817% | 
 | 54   | Araquanid          |  2.40963% | 8133   |  6.555% | 5027   |  6.915% | 
 | 55   | Buzzwole           |  2.37295% | 4154   |  3.348% | 2397   |  3.297% | 
 | 56   | Thundurus          |  2.27682% | 1671   |  1.347% | 955    |  1.314% | 
 | 57   | Victini            |  2.18497% | 1275   |  1.028% | 879    |  1.209% | 
 | 58   | Metagross-Mega     |  2.04186% | 3184   |  2.566% | 1926   |  2.649% | 
 | 59   | Volcarona          |  1.97684% | 7049   |  5.681% | 4100   |  5.640% | 
 | 60   | Crawdaunt          |  1.94715% | 304    |  0.245% | 180    |  0.248% | 
 | 61   | Sylveon            |  1.92592% | 3236   |  2.608% | 1991   |  2.739% | 
 | 62   | Nihilego           |  1.90494% | 2919   |  2.353% | 1574   |  2.165% | 
 | 63   | Mudsdale           |  1.87764% | 6594   |  5.314% | 3883   |  5.342% | 
 | 64   | Vikavolt           |  1.85897% | 6683   |  5.386% | 4263   |  5.864% | 
 | 65   | Mew                |  1.83304% | 2235   |  1.801% | 1310   |  1.802% | 
 | 66   | Blastoise-Mega     |  1.70316% | 1193   |  0.961% | 736    |  1.012% | 
 | 67   | Golem-Alola        |  1.68026% | 7603   |  6.127% | 4734   |  6.512% | 
 | 68   | Incineroar         |  1.66576% | 6575   |  5.299% | 4165   |  5.730% | 
 | 69   | Wishiwashi         |  1.50192% | 7168   |  5.777% | 4486   |  6.171% | 
 | 70   | Greninja           |  1.49907% | 2988   |  2.408% | 1682   |  2.314% | 
 | 71   | Genesect           |  1.40053% | 1152   |  0.928% | 744    |  1.023% | 
 | 72   | Crabominable       |  1.37634% | 5020   |  4.046% | 3006   |  4.135% | 
 | 73   | Scizor-Mega        |  1.34839% | 2136   |  1.721% | 1384   |  1.904% | 
 | 74   | Sandslash-Alola    |  1.34186% | 4697   |  3.785% | 3279   |  4.511% | 
 | 75   | Alakazam-Mega      |  1.30193% | 2371   |  1.911% | 1397   |  1.922% | 
 | 76   | Necrozma           |  1.27946% | 2308   |  1.860% | 1293   |  1.779% | 
 | 77   | Tyranitar          |  1.26071% | 2753   |  2.219% | 1693   |  2.329% | 
 | 78   | Primarina          |  1.23240% | 6672   |  5.377% | 4101   |  5.641% | 
 | 79   | Toxapex            |  1.23092% | 11648  |  9.387% | 7030   |  9.671% | 
 | 80   | Comfey             |  1.20584% | 8021   |  6.464% | 4706   |  6.474% | 
 | 81   | Greninja-Ash       |  1.19331% | 9843   |  7.933% | 5674   |  7.805% | 
 | 82   | Breloom            |  1.17532% | 812    |  0.654% | 485    |  0.667% | 
 | 83   | Golisopod          |  1.16429% | 7357   |  5.929% | 5225   |  7.188% | 
 | 84   | Whimsicott         |  1.14129% | 4492   |  3.620% | 2502   |  3.442% | 
 | 85   | Nidoking           |  1.13230% | 655    |  0.528% | 401    |  0.552% | 
 | 86   | Gyarados           |  1.09026% | 2132   |  1.718% | 1371   |  1.886% | 
 | 87   | Cofagrigus         |  1.08563% | 1368   |  1.103% | 712    |  0.979% | 
 | 88   | Bronzong           |  1.02592% | 1378   |  1.111% | 808    |  1.112% | 
 | 89   | Garchomp           |  0.99122% | 4190   |  3.377% | 2442   |  3.359% | 
 | 90   | Rotom-Heat         |  0.98237% | 394    |  0.318% | 261    |  0.359% | 
 | 91   | Ludicolo           |  0.96803% | 1253   |  1.010% | 863    |  1.187% | 
 | 92   | Eevee              |  0.94987% | 4262   |  3.435% | 2516   |  3.461% | 
 | 93   | Latios             |  0.94719% | 953    |  0.768% | 512    |  0.704% | 
 | 94   | Porygon2           |  0.93222% | 1865   |  1.503% | 1057   |  1.454% | 
 | 95   | Clefairy           |  0.87673% | 744    |  0.600% | 409    |  0.563% | 
 | 96   | Salamence          |  0.86649% | 1165   |  0.939% | 684    |  0.941% | 
 | 97   | Ribombee           |  0.86547% | 5778   |  4.657% | 3040   |  4.182% | 
 | 98   | Muk-Alola          |  0.82230% | 6735   |  5.428% | 3938   |  5.417% | 
 | 99   | Hariyama           |  0.81417% | 1028   |  0.828% | 703    |  0.967% | 
 | 100  | Weavile            |  0.78576% | 2905   |  2.341% | 1635   |  2.249% | 
 | 101  | Excadrill          |  0.77832% | 1298   |  1.046% | 812    |  1.117% | 
 | 102  | Drampa             |  0.77464% | 4680   |  3.772% | 2980   |  4.099% | 
 | 103  | Reuniclus          |  0.74594% | 1241   |  1.000% | 694    |  0.955% | 
 | 104  | Typhlosion         |  0.74104% | 1369   |  1.103% | 863    |  1.187% | 
 | 105  | Aerodactyl         |  0.70951% | 574    |  0.463% | 339    |  0.466% | 
 | 106  | Oricorio-Pom-Pom   |  0.70081% | 5633   |  4.540% | 2946   |  4.053% | 
 | 107  | Infernape          |  0.69940% | 1413   |  1.139% | 812    |  1.117% | 
 | 108  | Thundurus-Therian  |  0.69604% | 1516   |  1.222% | 924    |  1.271% | 
 | 109  | Togekiss           |  0.69399% | 3404   |  2.743% | 2167   |  2.981% | 
 | 110  | Aerodactyl-Mega    |  0.68764% | 2187   |  1.763% | 1271   |  1.748% | 
 | 111  | Dhelmise           |  0.68537% | 3375   |  2.720% | 2088   |  2.872% | 
 | 112  | Blaziken           |  0.66932% | 759    |  0.612% | 402    |  0.553% | 
 | 113  | Scizor             |  0.66623% | 1286   |  1.036% | 808    |  1.112% | 
 | 114  | Smeargle           |  0.66253% | 2168   |  1.747% | 1135   |  1.561% | 
 | 115  | Bewear             |  0.65729% | 4000   |  3.224% | 2461   |  3.385% | 
 | 116  | Gengar             |  0.64077% | 1973   |  1.590% | 1186   |  1.632% | 
 | 117  | Talonflame         |  0.61464% | 2098   |  1.691% | 1272   |  1.750% | 
 | 118  | Porygon-Z          |  0.61393% | 2100   |  1.692% | 1228   |  1.689% | 
 | 119  | Terrakion          |  0.60379% | 896    |  0.722% | 502    |  0.691% | 
 | 120  | Tsareena           |  0.60250% | 4050   |  3.264% | 2301   |  3.165% | 
 | 121  | Minior             |  0.59767% | 3760   |  3.030% | 1951   |  2.684% | 
 | 122  | Pyukumuku          |  0.57706% | 2627   |  2.117% | 1556   |  2.140% | 
 | 123  | Venusaur           |  0.57404% | 1724   |  1.389% | 1125   |  1.548% | 
 | 124  | Ferrothorn         |  0.56618% | 1676   |  1.351% | 1098   |  1.510% | 
 | 125  | Sableye            |  0.55701% | 1287   |  1.037% | 797    |  1.096% | 
 | 126  | Lycanroc           |  0.55346% | 4289   |  3.457% | 2365   |  3.253% | 
 | 127  | Heliolisk          |  0.55324% | 938    |  0.756% | 548    |  0.754% | 
 | 128  | Vanilluxe          |  0.54819% | 969    |  0.781% | 505    |  0.695% | 
 | 129  | Charjabug          |  0.52965% | 3345   |  2.696% | 1834   |  2.523% | 
 | 130  | Guzzlord           |  0.51316% | 2986   |  2.407% | 1766   |  2.429% | 
 | 131  | Beartic            |  0.49919% | 1982   |  1.597% | 1405   |  1.933% | 
 | 132  | Persian-Alola      |  0.49587% | 1166   |  0.940% | 736    |  1.012% | 
 | 133  | Abomasnow          |  0.49575% | 1014   |  0.817% | 578    |  0.795% | 
 | 134  | Toucannon          |  0.49321% | 3040   |  2.450% | 1930   |  2.655% | 
 | 135  | Cradily            |  0.49314% | 818    |  0.659% | 558    |  0.768% | 
 | 136  | Conkeldurr         |  0.49302% | 1257   |  1.013% | 834    |  1.147% | 
 | 137  | Gyarados-Mega      |  0.49257% | 1718   |  1.385% | 1121   |  1.542% | 
 | 138  | Manectric          |  0.47976% | 1153   |  0.929% | 701    |  0.964% | 
 | 139  | Gardevoir          |  0.47532% | 1360   |  1.096% | 814    |  1.120% | 
 | 140  | Rhyperior          |  0.46515% | 956    |  0.770% | 605    |  0.832% | 
 | 141  | Charizard          |  0.46256% | 287    |  0.231% | 179    |  0.246% | 
 | 142  | Decidueye          |  0.45375% | 7228   |  5.825% | 4425   |  6.087% | 
 | 143  | Aromatisse         |  0.44918% | 1346   |  1.085% | 737    |  1.014% | 
 | 144  | Gigalith           |  0.44356% | 1564   |  1.260% | 971    |  1.336% | 
 | 145  | Mamoswine          |  0.44292% | 1470   |  1.185% | 893    |  1.228% | 
 | 146  | Noivern            |  0.42845% | 991    |  0.799% | 565    |  0.777% | 
 | 147  | Kabutops           |  0.42709% | 506    |  0.408% | 343    |  0.472% | 
 | 148  | Passimian          |  0.42639% | 2998   |  2.416% | 1618   |  2.226% | 
 | 149  | Snorlax            |  0.40531% | 2563   |  2.066% | 1564   |  2.151% | 
 | 150  | Zygarde-10%        |  0.40229% | 1562   |  1.259% | 896    |  1.233% | 
 | 151  | Froslass           |  0.39139% | 1276   |  1.028% | 785    |  1.080% | 
 | 152  | Trevenant          |  0.38707% | 725    |  0.584% | 460    |  0.633% | 
 | 153  | Sableye-Mega       |  0.38175% | 1474   |  1.188% | 886    |  1.219% | 
 | 154  | Camerupt           |  0.38058% | 447    |  0.360% | 309    |  0.425% | 
 | 155  | Lurantis           |  0.37641% | 3111   |  2.507% | 1879   |  2.585% | 
 | 156  | Type: Null         |  0.37593% | 809    |  0.652% | 494    |  0.680% | 
 | 157  | Charizard-Mega-X   |  0.36909% | 2021   |  1.629% | 1215   |  1.671% | 
 | 158  | Slowbro            |  0.35558% | 1395   |  1.124% | 777    |  1.069% | 
 | 159  | Krookodile         |  0.33185% | 1199   |  0.966% | 689    |  0.948% | 
 | 160  | Machamp            |  0.32846% | 893    |  0.720% | 563    |  0.774% | 
 | 161  | Chandelure         |  0.32671% | 1726   |  1.391% | 1041   |  1.432% | 
 | 162  | Palossand          |  0.32579% | 3330   |  2.684% | 2007   |  2.761% | 
 | 163  | Oricorio-Sensu     |  0.32136% | 2347   |  1.892% | 1262   |  1.736% | 
 | 164  | Swampert           |  0.31774% | 959    |  0.773% | 623    |  0.857% | 
 | 165  | Shiinotic          |  0.31074% | 2677   |  2.157% | 1645   |  2.263% | 
 | 166  | Articuno           |  0.30330% | 510    |  0.411% | 306    |  0.421% | 
 | 167  | Lilligant          |  0.30144% | 2112   |  1.702% | 1255   |  1.726% | 
 | 168  | Jolteon            |  0.29935% | 1518   |  1.223% | 873    |  1.201% | 
 | 169  | Jumpluff           |  0.29228% | 102    |  0.082% | 56     |  0.077% | 
 | 170  | Ditto              |  0.28844% | 1567   |  1.263% | 1008   |  1.387% | 
 | 171  | Bisharp            |  0.28225% | 1030   |  0.830% | 575    |  0.791% | 
 | 172  | Vaporeon           |  0.27239% | 776    |  0.625% | 484    |  0.666% | 
 | 173  | Dragonite          |  0.26625% | 3020   |  2.434% | 1834   |  2.523% | 
 | 174  | Serperior          |  0.26330% | 2160   |  1.741% | 1209   |  1.663% | 
 | 175  | Slowbro-Mega       |  0.26209% | 935    |  0.754% | 567    |  0.780% | 
 | 176  | Crobat             |  0.25721% | 2151   |  1.734% | 1166   |  1.604% | 
 | 177  | Clefable           |  0.25385% | 3517   |  2.834% | 2219   |  3.053% | 
 | 178  | Lapras             |  0.22553% | 1026   |  0.827% | 663    |  0.912% | 
 | 179  | Entei              |  0.22451% | 296    |  0.239% | 179    |  0.246% | 
 | 180  | Glaceon            |  0.22008% | 924    |  0.745% | 602    |  0.828% | 
 | 181  | Aurorus            |  0.21723% | 972    |  0.783% | 547    |  0.752% | 
 | 182  | Pinsir-Mega        |  0.20843% | 823    |  0.663% | 479    |  0.659% | 
 | 183  | Golduck            |  0.20577% | 346    |  0.279% | 204    |  0.281% | 
 | 184  | Bruxish            |  0.20270% | 2156   |  1.738% | 1255   |  1.726% | 
 | 185  | Keldeo             |  0.19601% | 418    |  0.337% | 245    |  0.337% | 
 | 186  | Leafeon            |  0.18708% | 429    |  0.346% | 267    |  0.367% | 
 | 187  | Shuckle            |  0.18393% | 1423   |  1.147% | 853    |  1.173% | 
 | 188  | Blissey            |  0.17931% | 1090   |  0.878% | 665    |  0.915% | 
 | 189  | Moltres            |  0.17675% | 171    |  0.138% | 105    |  0.144% | 
 | 190  | Dusclops           |  0.17353% | 987    |  0.795% | 545    |  0.750% | 
 | 191  | Wishiwashi-School  |  0.17213% | 130    |  0.105% | 92     |  0.127% | 
 | 192  | Klefki             |  0.16995% | 1382   |  1.114% | 778    |  1.070% | 
 | 193  | Glalie-Mega        |  0.16464% | 1144   |  0.922% | 684    |  0.941% | 
 | 194  | Jellicent          |  0.16384% | 670    |  0.540% | 410    |  0.564% | 
 | 195  | Malamar            |  0.16207% | 640    |  0.516% | 347    |  0.477% | 
 | 196  | Espeon             |  0.16028% | 1485   |  1.197% | 825    |  1.135% | 
 | 197  | Silvally           |  0.15637% | 850    |  0.685% | 523    |  0.719% | 
 | 198  | Delphox            |  0.15618% | 471    |  0.380% | 289    |  0.398% | 
 | 199  | Chansey            |  0.15273% | 1091   |  0.879% | 656    |  0.902% | 
 | 200  | Cinccino           |  0.15248% | 345    |  0.278% | 211    |  0.290% | 
 | 201  | Hippowdon          |  0.14635% | 897    |  0.723% | 505    |  0.695% | 
 | 202  | Oricorio           |  0.13884% | 2247   |  1.811% | 1294   |  1.780% | 
 | 203  | Metagross          |  0.13560% | 1151   |  0.928% | 836    |  1.150% | 
 | 204  | Dusknoir           |  0.13244% | 631    |  0.509% | 367    |  0.505% | 
 | 205  | Alakazam           |  0.13011% | 1181   |  0.952% | 650    |  0.894% | 
 | 206  | Lucario-Mega       |  0.12396% | 1155   |  0.931% | 703    |  0.967% | 
 | 207  | Masquerain         |  0.12371% | 773    |  0.623% | 493    |  0.678% | 
 | 208  | Tornadus           |  0.12216% | 243    |  0.196% | 141    |  0.194% | 
 | 209  | Lycanroc-Midnight  |  0.11958% | 1664   |  1.341% | 924    |  1.271% | 
 | 210  | Rhydon             |  0.11209% | 238    |  0.192% | 136    |  0.187% | 
 | 211  | Gliscor            |  0.10942% | 1068   |  0.861% | 662    |  0.911% | 
 | 212  | Absol-Mega         |  0.10877% | 1153   |  0.929% | 699    |  0.962% | 
 | 213  | Regice             |  0.10757% | 388    |  0.313% | 261    |  0.359% | 
 | 214  | Mienshao           |  0.10727% | 335    |  0.270% | 189    |  0.260% | 
 | 215  | Luxray             |  0.10706% | 629    |  0.507% | 425    |  0.585% | 
 | 216  | Gumshoos           |  0.10691% | 728    |  0.587% | 423    |  0.582% | 
 | 217  | Mantine            |  0.10421% | 539    |  0.434% | 302    |  0.415% | 
 | 218  | Silvally-Ground    |  0.10270% | 313    |  0.252% | 193    |  0.265% | 
 | 219  | Gourgeist-Super    |  0.09722% | 210    |  0.169% | 130    |  0.179% | 
 | 220  | Eelektross         |  0.09715% | 899    |  0.725% | 590    |  0.812% | 
 | 221  | Togedemaru         |  0.09686% | 1729   |  1.393% | 1038   |  1.428% | 
 | 222  | Magnezone          |  0.09679% | 1095   |  0.882% | 712    |  0.979% | 
 | 223  | Cloyster           |  0.09667% | 1347   |  1.086% | 834    |  1.147% | 
 | 224  | Kyurem             |  0.09378% | 177    |  0.143% | 108    |  0.149% | 
 | 225  | Pachirisu          |  0.09285% | 641    |  0.517% | 367    |  0.505% | 
 | 226  | Dugtrio-Alola      |  0.09090% | 1586   |  1.278% | 934    |  1.285% | 
 | 227  | Turtonator         |  0.09063% | 2085   |  1.680% | 1302   |  1.791% | 
 | 228  | Diancie-Mega       |  0.09018% | 24     |  0.019% | 16     |  0.022% | 
 | 229  | Electivire         |  0.08865% | 2096   |  1.689% | 1205   |  1.658% | 
 | 230  | Latias             |  0.08751% | 564    |  0.455% | 332    |  0.457% | 
 | 231  | Gallade            |  0.08497% | 511    |  0.412% | 294    |  0.404% | 
 | 232  | Maractus           |  0.08429% | 176    |  0.142% | 96     |  0.132% | 
 | 233  | Umbreon            |  0.08408% | 938    |  0.756% | 575    |  0.791% | 
 | 234  | Zebstrika          |  0.08407% | 309    |  0.249% | 168    |  0.231% | 
 | 235  | Parasect           |  0.08209% | 344    |  0.277% | 191    |  0.263% | 
 | 236  | Uxie               |  0.08198% | 158    |  0.127% | 111    |  0.153% | 
 | 237  | Archeops           |  0.08079% | 450    |  0.363% | 270    |  0.371% | 
 | 238  | Blastoise          |  0.07912% | 712    |  0.574% | 437    |  0.601% | 
 | 239  | Slurpuff           |  0.07730% | 186    |  0.150% | 106    |  0.146% | 
