 Total battles: 1905295
 Avg. weight/team: 0.005
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 40.78309% | 1050149 | 27.559% | 899417 | 31.033% | 
 | 2    | Magearna           | 25.01651% | 425768 | 11.173% | 333813 | 11.518% | 
 | 3    | Heatran            | 22.20193% | 602927 | 15.822% | 499312 | 17.228% | 
 | 4    | Toxapex            | 19.52567% | 383739 | 10.070% | 295884 | 10.209% | 
 | 5    | Zapdos             | 19.46126% | 385699 | 10.122% | 307164 | 10.598% | 
 | 6    | Greninja-Ash       | 18.13715% | 568277 | 14.913% | 416345 | 14.365% | 
 | 7    | Zygarde            | 17.02935% | 380726 |  9.991% | 278952 |  9.625% | 
 | 8    | Chansey            | 16.31628% | 312406 |  8.198% | 236919 |  8.174% | 
 | 9    | Kartana            | 16.25945% | 385080 | 10.106% | 278718 |  9.617% | 
 | 10   | Clefable           | 15.93662% | 311210 |  8.167% | 229041 |  7.903% | 
 | 11   | Tapu Koko          | 15.34451% | 554350 | 14.548% | 438011 | 15.113% | 
 | 12   | Tornadus-Therian   | 14.75765% | 283383 |  7.437% | 222965 |  7.693% | 
 | 13   | Ferrothorn         | 14.52178% | 551340 | 14.469% | 465360 | 16.056% | 
 | 14   | Tapu Lele          | 13.26209% | 352515 |  9.251% | 262826 |  9.068% | 
 | 15   | Mawile-Mega        | 12.31816% | 233059 |  6.116% | 171529 |  5.918% | 
 | 16   | Tapu Bulu          | 11.20015% | 298800 |  7.841% | 229921 |  7.933% | 
 | 17   | Tangrowth          | 10.50618% | 277663 |  7.287% | 215304 |  7.429% | 
 | 18   | Excadrill          | 10.20122% | 288372 |  7.568% | 221741 |  7.651% | 
 | 19   | Skarmory           |  8.77025% | 197022 |  5.170% | 160423 |  5.535% | 
 | 20   | Keldeo             |  8.28820% | 137483 |  3.608% | 104010 |  3.589% | 
 | 21   | Greninja           |  8.07853% | 347230 |  9.112% | 266047 |  9.179% | 
 | 22   | Celesteela         |  8.07382% | 265490 |  6.967% | 209345 |  7.223% | 
