Rank,Pokemon,Weighted Usage %
1,Landorus-Therian,26.75733
2,Tapu Fini,20.93826
3,Tapu Lele,20.47793
4,Marshadow,18.08019
5,Tapu Koko,17.35302
6,Zapdos,17.03654
7,Heatran,13.70491
8,Charizard-Mega-Y,12.69045
9,Salamence-Mega,11.53314
10,Celesteela,10.85377
11,Hoopa-Unbound,10.76424
12,Aegislash,10.5923
13,Ferrothorn,10.08147
14,Tapu Bulu,9.36322
15,Zygarde,9.14654
16,Arcanine,9.00581
17,Whimsicott,8.42751
18,Tyranitar,8.29977
19,Amoonguss,7.89143
20,Deoxys-Attack,7.69717
21,Pelipper,7.60021
22,Ninetales-Alola,7.48559
23,Kartana,7.03253
24,Diancie-Mega,6.84761
25,Snorlax,6.6829
26,Weavile,6.46355
27,Scrafty,6.2704
28,Volcarona,6.23541
29,Porygon2,5.7481
30,Garchomp,5.70096
31,Marowak-Alola,5.53924
32,Mimikyu,5.2992
33,Volcanion,5.21675
34,Kyurem-Black,5.11337
35,Suicune,5.08425
36,Kingdra,4.90673
37,Swampert-Mega,4.53603
38,Diancie,4.40656
39,Metagross-Mega,4.37138
40,Gardevoir-Mega,4.35467
41,Excadrill,4.24365
42,Ludicolo,4.10869
43,Gengar-Mega,4.10233
44,Genesect,3.94449
45,Gastrodon,3.90746
46,Politoed,3.84468
47,Pheromosa,3.82896
48,Milotic,3.66219
49,Oranguru,3.64592
50,Mawile-Mega,3.5958
51,Rotom-Wash,3.37536
52,Bronzong,3.31334
53,Venusaur,3.21298
54,Araquanid,3.20225
55,Terrakion,3.19018
56,Tyranitar-Mega,2.95548
57,Gyarados-Mega,2.94352
58,Camerupt-Mega,2.89459
59,Bisharp,2.85788
60,Torkoal,2.82705
61,Abomasnow-Mega,2.72502
62,Muk-Alola,2.72453
63,Cresselia,2.68911
64,Venusaur-Mega,2.64868
65,Sylveon,2.49907
66,Shaymin-Sky,2.46495
67,Primarina,2.3823
68,Gyarados,2.35484
69,Gigalith,2.32267
70,Landorus,2.26228
71,Smeargle,2.22726
72,Victini,2.04468
73,Raichu,2.03547
74,Xurkitree,1.88254
75,Sceptile-Mega,1.87274
76,Drampa,1.85441
77,Thundurus-Therian,1.80819
78,Blastoise-Mega,1.74965
79,Dusclops,1.70915
80,Hitmontop,1.70223
81,Mew,1.66885
82,Scizor-Mega,1.6418
83,Togekiss,1.62753
84,Lopunny-Mega,1.61549
85,Greninja,1.61427
86,Porygon-Z,1.59311
87,Azumarill,1.49212
88,Clefable,1.44073
89,Hawlucha,1.43146
90,Serperior,1.42732
91,Nihilego,1.4155
92,Dragonite,1.34091
93,Greninja-Ash,1.33951
94,Raichu-Alola,1.33613
95,Latias-Mega,1.26989
96,Typhlosion,1.23926
97,Hippowdon,1.21552
98,Breloom,1.20273
99,Hariyama,1.20123
100,Cradily,1.1972
101,Latios,1.17498
102,Scizor,1.16717
103,Ninetales,1.09137
104,Manectric-Mega,1.09052
105,Thundurus,1.072
106,Conkeldurr,1.06507
107,Golisopod,1.06289
108,Ampharos-Mega,1.01853
109,Aerodactyl-Mega,1.00406
