Rank,Pokemon,Weighted Usage %
1,Landorus-Therian,40.75664
2,Magearna,24.17327
3,Greninja-Ash,21.36452
4,Heatran,20.57437
5,Zygarde,17.49728
6,Tapu Koko,17.37538
7,Kartana,16.44113
8,Ferrothorn,14.28754
9,Tapu Bulu,14.0027
10,Tapu Lele,13.94003
11,Tornadus-Therian,13.6737
12,Zapdos,12.86659
13,Toxapex,11.91858
14,Greninja,10.26206
15,Mawile-Mega,10.08994
16,Chansey,9.84349
17,Clefable,9.8168
18,Excadrill,9.17129
19,Tangrowth,9.14218
20,Garchomp,8.14481
21,Scizor-Mega,7.91089
22,Medicham-Mega,7.64457
23,Tapu Fini,7.29099
24,Hawlucha,7.08604
25,Serperior,6.93092
26,Celesteela,6.7833
27,Magnezone,6.57015
28,Blacephalon,6.51115
29,Kyurem-Black,6.46851
30,Alakazam-Mega,6.37245
31,Victini,6.23923
32,Gliscor,5.78386
33,Skarmory,5.72239
34,Gyarados-Mega,5.6422
35,Tyranitar,5.47591
36,Rotom-Wash,5.45671
37,Charizard-Mega-X,5.37901
38,Pinsir-Mega,5.34953
39,Volcarona,5.25113
40,Pelipper,5.22708
41,Swampert-Mega,5.09536
42,Keldeo,4.98954
43,Lopunny-Mega,4.6874
44,Jirachi,4.22946
45,Mew,4.19167
46,Charizard-Mega-Y,4.07292
47,Diancie-Mega,3.82004
48,Mimikyu,3.79885
49,Sableye-Mega,3.56041
50,Hoopa-Unbound,3.43312
51,Latias-Mega,3.29532
52,Tyranitar-Mega,2.65717
53,Hippowdon,2.52607
54,Dragonite,2.46521
55,Azumarill,2.46421
56,Bisharp,2.44828
57,Gastrodon,2.41996
58,Manaphy,2.40438
59,Venusaur-Mega,2.40081
60,Buzzwole,2.32232
61,Gyarados,2.19701
62,Marowak-Alola,2.17179
63,Weavile,2.10656
64,Ditto,2.03544
65,Reuniclus,2.00887
66,Ninetales-Alola,1.9688
67,Araquanid,1.90427
68,Crawdaunt,1.85533
69,Kommo-o,1.80341
70,Heracross-Mega,1.78515
71,Cresselia,1.73743
72,Salamence,1.71753
73,Hydreigon,1.56921
74,Ribombee,1.54478
75,Thundurus-Therian,1.52679
76,Gengar,1.51142
77,Latios,1.46295
78,Kingdra,1.45386
79,Shuckle,1.42417
80,Mamoswine,1.42081
81,Latios-Mega,1.35954
82,Slowbro,1.34751
83,Muk-Alola,1.33921
84,Aggron-Mega,1.31617
85,Swampert,1.29696
86,Suicune,1.25526
87,Nidoking,1.21218
88,Amoonguss,1.18562
89,Quagsire,1.16412
90,Volcanion,1.14543
91,Mantine,1.14061
92,Xurkitree,1.09388
93,Breloom,1.06006
