Rank,Pokemon,Weighted Usage %
1,Landorus-Therian,25.16161
2,Tapu Lele,23.22466
3,Incineroar,22.79673
4,Tapu Koko,19.43041
5,Tapu Fini,18.64082
6,Metagross-Mega,14.22375
7,Tapu Bulu,13.59968
8,Zapdos,12.97532
9,Zygarde,11.76528
10,Amoonguss,11.60956
11,Gengar-Mega,11.11388
12,Kommo-o,11.02942
13,Hoopa-Unbound,9.86126
14,Tyranitar,9.29542
15,Charizard-Mega-Y,9.28815
16,Kyurem-Black,9.19166
17,Suicune,9.13096
18,Ferrothorn,8.35855
19,Scrafty,8.07123
20,Stakataka,7.71858
21,Volcanion,7.40652
22,Genesect,6.83732
23,Milotic,6.76468
24,Mimikyu,6.6595
25,Aegislash,6.45838
26,Celesteela,6.45004
27,Pelipper,6.05445
28,Ninetales-Alola,6.04751
29,Camerupt-Mega,5.66007
30,Heatran,5.6555
31,Whimsicott,5.53244
32,Kartana,5.44542
33,Salamence-Mega,4.93389
34,Diancie-Mega,4.86289
35,Excadrill,4.69604
36,Oranguru,4.53226
37,Volcarona,4.49143
38,Swampert-Mega,4.2461
39,Victini,4.12418
40,Mew,4.07721
41,Manectric-Mega,4.07271
42,Mawile-Mega,4.06185
43,Kingdra,4.05353
44,Porygon2,3.93221
45,Gothitelle,3.93129
46,Shuckle,3.9233
47,Cresselia,3.91366
48,Weavile,3.88552
49,Staraptor,3.67729
50,Torkoal,3.57488
51,Deoxys-Attack,3.54382
52,Arcanine,3.10038
53,Bronzong,3.09719
54,Tyranitar-Mega,2.98867
55,Thundurus-Therian,2.98818
56,Marowak-Alola,2.97373
57,Diancie,2.83624
58,Smeargle,2.77
59,Bruxish,2.73477
60,Blissey,2.64108
61,Blaziken-Mega,2.45056
62,Togekiss,2.4097
63,Garchomp,2.32586
64,Togedemaru,2.28526
65,Politoed,2.25166
66,Azumarill,2.19847
67,Gardevoir-Mega,2.18371
68,Aerodactyl,2.15369
69,Pheromosa,2.14586
70,Gastrodon,2.13299
71,Scizor-Mega,2.06053
72,Chandelure,2.02177
73,Ludicolo,2.01092
74,Venusaur-Mega,2.00562
75,Venusaur,2.00359
76,Terrakion,1.8434
77,Infernape,1.81573
78,Dusclops,1.7979
79,Blastoise-Mega,1.79216
80,Primarina,1.75823
81,Darkrai,1.67775
82,Landorus,1.61267
83,Machamp,1.5875
84,Naganadel,1.58067
85,Reuniclus,1.55417
86,Abomasnow-Mega,1.51787
87,Metagross,1.50666
88,Gigalith,1.50043
89,Gyarados-Mega,1.49841
90,Greninja-Ash,1.48962
91,Dragonite,1.4542
92,Araquanid,1.42031
93,Greninja,1.41802
94,Cradily,1.4109
95,Rotom-Wash,1.40258
96,Bisharp,1.35723
97,Xurkitree,1.33124
98,Gyarados,1.26504
99,Gliscor,1.26299
100,Hippowdon,1.18057
101,Conkeldurr,1.17233
102,Sceptile-Mega,1.14161
103,Necrozma,1.06201
104,Raichu,1.05552
105,Hitmontop,1.04113
106,Lapras,1.03822
107,Shaymin-Sky,1.02511
108,Lilligant,1.01871
