Rank,Pokemon,Weighted Usage %,Real Usage,Real Usage %
1,Incineroar,34.34893,68810,17.675
2,Landorus-Therian,28.2257,54498,13.999
3,Tapu Koko,24.05778,48087,12.352
4,Tapu Lele,20.17016,36440,9.36
5,Tapu Fini,16.63302,34909,8.967
6,Charizard-Mega-Y,15.84039,35920,9.227
7,Kommo-o,13.45923,23881,6.134
8,Kartana,12.43103,25094,6.446
9,Metagross-Mega,11.98216,21721,5.58
10,Tapu Bulu,11.05159,19509,5.011
11,Mew,10.85825,18824,4.835
12,Zapdos,9.85098,26906,6.911
13,Amoonguss,9.2124,25989,6.676
14,Gastrodon,8.89979,25552,6.564
15,Salamence-Mega,8.77526,19786,5.083
16,Diancie,8.61085,9967,2.56
17,Zygarde,8.31957,11129,2.859
18,Pelipper,7.84417,26498,6.807
19,Celesteela,7.6809,20475,5.259
20,Ferrothorn,7.56596,28402,7.296
21,Diancie-Mega,7.33163,13846,3.557
22,Genesect,6.94554,11802,3.032
23,Tyranitar,6.79691,18460,4.742
24,Stakataka,6.6214,15084,3.875
25,Whimsicott,6.53349,21566,5.54
26,Camerupt-Mega,6.53262,15139,3.889
27,Swampert-Mega,6.26215,22532,5.788
28,Aegislash,5.85878,22046,5.663
29,Porygon2,5.82075,15198,3.904
30,Heatran,5.79594,16663,4.28
31,Kyurem-Black,5.62556,9800,2.517
32,Volcanion,5.54525,12177,3.128
33,Victini,5.29983,13335,3.425
34,Volcarona,5.23816,21134,5.429
35,Hoopa-Unbound,5.08091,7191,1.847
36,Milotic,5.06383,23993,6.163
37,Gothitelle,4.95521,12767,3.28
38,Excadrill,4.87137,13159,3.38
39,Gardevoir-Mega,4.61812,16429,4.22
40,Kingdra,4.55981,12759,3.277
41,Zeraora,4.22795,17168,4.41
42,Cresselia,4.16711,16379,4.207
43,Scrafty,4.05197,10113,2.598
44,Smeargle,3.89618,11651,2.993
45,Terrakion,3.83178,7782,1.999
46,Ninetales-Alola,3.78188,18975,4.874
47,Tyranitar-Mega,3.73545,11451,2.941
48,Shaymin-Sky,3.72575,4863,1.249
49,Politoed,3.45257,13156,3.379
50,Manectric-Mega,3.41517,12060,3.098
51,Deoxys-Attack,3.4068,5514,1.416
52,Torkoal,3.36014,9848,2.53
53,Venusaur-Mega,3.33223,11974,3.076
54,Oranguru,3.19726,16827,4.322
55,Weavile,3.09867,9761,2.507
56,Suicune,3.08415,7627,1.959
57,Ludicolo,2.74934,9608,2.468
58,Bronzong,2.68427,6724,1.727
59,Mawile-Mega,2.6265,8559,2.199
60,Garchomp,2.614,20010,5.14
61,Mimikyu,2.55446,14462,3.715
62,Raichu,2.54617,8759,2.25
63,Araquanid,2.52946,5703,1.465
64,Nihilego,2.34156,3770,0.968
65,Venusaur,2.3194,9072,2.33
66,Naganadel,2.24825,5918,1.52
67,Blacephalon,2.21748,7059,1.813
68,Tsareena,2.1318,3634,0.933
69,Chansey,1.95306,8867,2.278
70,Togekiss,1.84529,14255,3.662
71,Gyarados,1.80124,8575,2.203
72,Azumarill,1.74498,8692,2.233
73,Tornadus,1.70133,2242,0.576
74,Sceptile-Mega,1.5699,14545,3.736
75,Gengar,1.53918,9856,2.532
76,Scizor-Mega,1.50434,5833,1.498
77,Thundurus-Therian,1.49027,6428,1.651
78,Darkrai,1.43201,5255,1.35
79,Raichu-Alola,1.42269,5274,1.355
80,Primarina,1.41522,5477,1.407
81,Heliolisk,1.40269,5142,1.321
82,Slowbro-Mega,1.39002,3639,0.935
83,Abomasnow-Mega,1.37898,4782,1.228
84,Gyarados-Mega,1.37511,4811,1.236
85,Bisharp,1.34311,5663,1.455
86,Marowak-Alola,1.32996,10032,2.577
87,Rotom-Wash,1.32935,7967,2.047
88,Serperior,1.3293,11837,3.041
89,Staraptor,1.29608,8070,2.073
90,Latias-Mega,1.28857,3630,0.932
91,Togedemaru,1.28675,5496,1.412
92,Pheromosa,1.27679,4698,1.207
93,Persian-Alola,1.26407,2841,0.73
94,Hitmontop,1.22823,4254,1.093
95,Bruxish,1.1927,5566,1.43
96,Aerodactyl-Mega,1.17163,5974,1.535
97,Lurantis,1.14195,3209,0.824
98,Gigalith,1.0999,3382,0.869
99,Blastoise-Mega,1.08591,4070,1.045
100,Greninja-Ash,1.07584,12503,3.212
101,Cofagrigus,1.05484,6355,1.632
102,Greninja,1.04672,12495,3.21
103,Drifblim,1.0174,2556,0.657
104,Gallade,1.00679,2063,0.53
