Rank,Pokemon,Weighted Usage %
1,Landorus-Therian,41.59356
2,Tapu Fini,29.41395
3,Metagross-Mega,29.37883
4,Tapu Lele,19.96515
5,Greninja-Ash,19.61904
6,Pheromosa,18.31232
7,Ferrothorn,15.77922
8,Magearna,15.59145
9,Tapu Koko,15.14484
10,Garchomp,13.59899
11,Heatran,12.66732
12,Greninja,11.75566
13,Excadrill,11.5742
14,Celesteela,10.15056
15,Scizor-Mega,10.08844
16,Toxapex,9.83004
17,Skarmory,9.15722
18,Dugtrio,9.03302
19,Marowak-Alola,8.9643
20,Magnezone,8.4835
21,Tapu Bulu,7.973
22,Charizard-Mega-X,7.64399
23,Chansey,7.55974
24,Volcarona,7.1475
25,Zygarde,7.13705
26,Hoopa-Unbound,6.92381
27,Kartana,6.89402
28,Charizard-Mega-Y,6.51269
29,Tangrowth,6.42044
30,Pinsir-Mega,6.25974
31,Nihilego,6.15527
32,Mimikyu,6.05538
33,Tyranitar,5.89611
34,Zapdos,5.83311
35,Sableye-Mega,5.44528
36,Latios,5.37983
37,Venusaur-Mega,5.28134
38,Mamoswine,5.07798
39,Rotom-Wash,4.9651
40,Xurkitree,4.44811
41,Scolipede,4.42836
42,Gengar,4.34808
43,Manaphy,4.32339
44,Gyarados-Mega,4.22556
45,Clefable,3.99499
46,Salamence,3.88375
47,Buzzwole,3.82044
48,Alakazam-Mega,3.76686
49,Muk-Alola,3.49889
50,Jirachi,3.21063
51,Pelipper,3.07396
52,Keldeo,3.00631
53,Gyarados,2.90923
54,Hippowdon,2.90384
55,Dragonite,2.89425
56,Thundurus-Therian,2.64786
57,Kyurem-Black,2.57875
58,Bisharp,2.36399
59,Hydreigon,2.29069
60,Serperior,2.24019
61,Kingdra,2.18261
62,Tornadus-Therian,2.00571
63,Azelf,1.98543
64,Mew,1.93098
65,Mantine,1.70633
66,Sharpedo-Mega,1.64688
67,Porygon-Z,1.63561
68,Terrakion,1.62155
69,Thundurus,1.52431
70,Amoonguss,1.51313
71,Weavile,1.49869
72,Bronzong,1.48379
73,Smeargle,1.44484
74,Mandibuzz,1.39534
75,Victini,1.37569
76,Azumarill,1.24159
77,Necrozma,1.22045
78,Breloom,1.21034
79,Porygon2,1.17965
80,Tentacruel,1.13295
81,Starmie,1.12803
82,Gliscor,1.1023
83,Shedinja,1.09605
84,Quagsire,1.08428
85,Alomomola,1.07779
86,Chandelure,1.07021
87,Latias,1.06733
88,Ninetales-Alola,1.06558
89,Nidoking,1.03361
