Rank,Pokemon,Weighted Usage %,Real Usage,Real Usage %
1,Landorus-Therian,45.22043,1081340,29.422
2,Magearna,23.78591,437218,11.896
3,Greninja-Ash,20.37528,618938,16.84
4,Ferrothorn,19.38228,593327,16.144
5,Heatran,18.93331,613466,16.692
6,Kartana,18.7066,481425,13.099
7,Tapu Koko,17.94092,534289,14.537
8,Tornadus-Therian,15.25122,310536,8.449
9,Tapu Lele,14.79114,368423,10.024
10,Toxapex,13.11209,364236,9.91
11,Zapdos,12.39879,354878,9.656
12,Garchomp,11.8322,406097,11.049
13,Tapu Bulu,11.79732,290226,7.897
14,Greninja,10.60577,349173,9.501
15,Excadrill,9.91822,282443,7.685
16,Chansey,9.22351,288372,7.846
17,Clefable,8.91376,256704,6.985
18,Mawile-Mega,8.89723,214136,5.826
19,Celesteela,8.69707,251736,6.849
20,Medicham-Mega,8.34033,202730,5.516
21,Rotom-Wash,8.32612,319476,8.693
22,Tapu Fini,8.21123,232667,6.331
23,Serperior,7.74449,310192,8.44
24,Victini,7.69016,182850,4.975
25,Volcarona,7.62072,293705,7.991
26,Tangrowth,7.59666,221936,6.039
27,Kyurem-Black,7.41024,202027,5.497
28,Hawlucha,7.11149,221150,6.017
29,Magnezone,6.56857,235153,6.398
30,Blacephalon,6.52752,199936,5.44
31,Gliscor,6.40019,341177,9.283
32,Keldeo,6.10894,144952,3.944
33,Alakazam-Mega,6.06789,226160,6.154
34,Charizard-Mega-X,5.91794,286162,7.786
35,Pelipper,5.89858,161751,4.401
36,Lopunny-Mega,5.89213,210222,5.72
37,Scizor-Mega,5.819,210661,5.732
38,Diancie-Mega,5.67194,128551,3.498
39,Swampert-Mega,5.48023,165717,4.509
40,Pinsir-Mega,5.22631,114658,3.12
41,Tyranitar,5.16491,221223,6.019
42,Jirachi,4.67915,142904,3.888
43,Skarmory,4.65794,177667,4.834
44,Mimikyu,4.62108,222119,6.044
45,Mew,4.01171,138053,3.756
46,Gyarados-Mega,3.99532,141604,3.853
47,Tyranitar-Mega,3.86343,121069,3.294
48,Hoopa-Unbound,3.62181,97645,2.657
49,Charizard-Mega-Y,3.27572,196998,5.36
50,Venusaur-Mega,3.1826,143014,3.891
51,Sableye-Mega,2.75102,115095,3.132
52,Latias-Mega,2.64537,51904,1.412
53,Gastrodon,2.59186,96090,2.614
54,Manaphy,2.56603,47007,1.279
55,Reuniclus,2.49035,42696,1.162
56,Thundurus-Therian,2.41262,72438,1.971
57,Araquanid,2.36386,57581,1.567
58,Hippowdon,2.34091,59155,1.61
59,Weavile,2.3126,129175,3.515
60,Hydreigon,2.15513,62056,1.688
61,Azumarill,2.04199,103600,2.819
62,Amoonguss,1.9835,45645,1.242
63,Dragonite,1.96872,152951,4.162
64,Bisharp,1.85846,79955,2.175
65,Kommo-o,1.83352,72526,1.973
66,Ribombee,1.82467,42346,1.152
67,Marowak-Alola,1.82013,60546,1.647
68,Latios,1.78588,84701,2.305
69,Gyarados,1.78376,95463,2.597
70,Crawdaunt,1.74522,43023,1.171
71,Latios-Mega,1.63314,49047,1.335
72,Ditto,1.61378,46705,1.271
73,Kingdra,1.58597,61677,1.678
74,Heracross-Mega,1.47077,47982,1.306
75,Mamoswine,1.40177,64745,1.762
76,Garchomp-Mega,1.39033,58864,1.602
77,Cresselia,1.35891,41819,1.138
78,Salamence,1.32718,83593,2.274
79,Latias,1.31989,46464,1.264
80,Kyurem,1.21969,14410,0.392
81,Gengar,1.21511,108336,2.948
82,Buzzwole,1.17174,44801,1.219
83,Thundurus,1.15416,36807,1.001
84,Muk-Alola,1.1491,65459,1.781
85,Stakataka,1.11441,30554,0.831
86,Volcanion,1.09183,45208,1.23
87,Gallade-Mega,1.09033,67081,1.825
88,Slowbro,1.0636,32356,0.88
89,Quagsire,1.00956,36627,0.997
90,Golem-Alola,1.00746,20911,0.569
