 Total battles: 160289
 Avg. weight/team: 0.09
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Incineroar         | 34.30585% | 49460  | 15.428% | 0      |  0.000% | 
 | 2    | Landorus-Therian   | 26.10238% | 44713  | 13.948% | 0      |  0.000% | 
 | 3    | Tapu Lele          | 22.75666% | 26938  |  8.403% | 0      |  0.000% | 
 | 4    | Tapu Fini          | 21.16805% | 26253  |  8.189% | 0      |  0.000% | 
 | 5    | Tapu Koko          | 20.88201% | 36239  | 11.304% | 0      |  0.000% | 
 | 6    | Metagross-Mega     | 17.87182% | 20194  |  6.299% | 0      |  0.000% | 
 | 7    | Zapdos             | 15.51314% | 25689  |  8.013% | 0      |  0.000% | 
 | 8    | Kartana            | 13.36269% | 21913  |  6.835% | 0      |  0.000% | 
 | 9    | Tapu Bulu          | 11.93123% | 16022  |  4.998% | 0      |  0.000% | 
 | 10   | Zygarde            | 11.86954% | 12843  |  4.006% | 0      |  0.000% | 
 | 11   | Amoonguss          | 11.40685% | 21412  |  6.679% | 0      |  0.000% | 
 | 12   | Kommo-o            | 10.35214% | 18369  |  5.730% | 0      |  0.000% | 
 | 13   | Charizard-Mega-Y   |  9.37155% | 26582  |  8.292% | 0      |  0.000% | 
 | 14   | Volcanion          |  8.65014% | 10225  |  3.190% | 0      |  0.000% | 
 | 15   | Mew                |  8.01498% | 14287  |  4.457% | 0      |  0.000% | 
 | 16   | Milotic            |  7.91740% | 21167  |  6.603% | 0      |  0.000% | 
 | 17   | Kyurem-Black       |  7.78234% | 10188  |  3.178% | 0      |  0.000% | 
 | 18   | Salamence-Mega     |  7.72247% | 16125  |  5.030% | 0      |  0.000% | 
 | 19   | Genesect           |  6.76670% | 8984   |  2.802% | 0      |  0.000% | 
 | 20   | Victini            |  6.69430% | 9264   |  2.890% | 0      |  0.000% | 
 | 21   | Porygon2           |  6.52521% | 11246  |  3.508% | 0      |  0.000% | 
 | 22   | Gastrodon          |  6.50893% | 19765  |  6.165% | 0      |  0.000% | 
 | 23   | Hoopa-Unbound      |  6.29006% | 7843   |  2.447% | 0      |  0.000% | 
 | 24   | Ferrothorn         |  6.28436% | 19739  |  6.157% | 0      |  0.000% | 
 | 25   | Aegislash          |  6.13848% | 17406  |  5.430% | 0      |  0.000% | 
 | 26   | Manectric-Mega     |  6.12484% | 10253  |  3.198% | 0      |  0.000% | 
 | 27   | Pelipper           |  6.00174% | 20549  |  6.410% | 0      |  0.000% | 
 | 28   | Diancie-Mega       |  5.79466% | 10061  |  3.138% | 0      |  0.000% | 
 | 29   | Tyranitar-Mega     |  5.76418% | 10824  |  3.376% | 0      |  0.000% | 
 | 30   | Stakataka          |  5.74236% | 8763   |  2.734% | 0      |  0.000% | 
 | 31   | Camerupt-Mega      |  5.64248% | 10071  |  3.142% | 0      |  0.000% | 
 | 32   | Heatran            |  5.40200% | 13586  |  4.238% | 0      |  0.000% | 
 | 33   | Whimsicott         |  5.38266% | 18459  |  5.758% | 0      |  0.000% | 
 | 34   | Tyranitar          |  5.30606% | 15191  |  4.739% | 0      |  0.000% | 
 | 35   | Mimikyu            |  5.15254% | 14737  |  4.597% | 0      |  0.000% | 
 | 36   | Ninetales-Alola    |  5.12062% | 15735  |  4.908% | 0      |  0.000% | 
 | 37   | Cresselia          |  5.11127% | 14041  |  4.380% | 0      |  0.000% | 
 | 38   | Swampert-Mega      |  5.10258% | 16103  |  5.023% | 0      |  0.000% | 
 | 39   | Diancie            |  4.73839% | 5343   |  1.667% | 0      |  0.000% | 
 | 40   | Togedemaru         |  4.54781% | 4972   |  1.551% | 0      |  0.000% | 
 | 41   | Volcarona          |  4.41252% | 16126  |  5.030% | 0      |  0.000% | 
