 Total battles: 195548
 Avg. weight/team: 0.069
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Incineroar         | 34.16230% | 64958  | 16.609% | 0      |  0.000% | 
 | 2    | Landorus-Therian   | 26.15468% | 55116  | 14.093% | 0      |  0.000% | 
 | 3    | Tapu Koko          | 23.77349% | 47528  | 12.153% | 0      |  0.000% | 
 | 4    | Tapu Fini          | 23.28830% | 34983  |  8.945% | 0      |  0.000% | 
 | 5    | Tapu Lele          | 21.61104% | 31891  |  8.154% | 0      |  0.000% | 
 | 6    | Kartana            | 16.33534% | 28304  |  7.237% | 0      |  0.000% | 
 | 7    | Metagross-Mega     | 15.75551% | 25640  |  6.556% | 0      |  0.000% | 
 | 8    | Charizard-Mega-Y   | 12.58547% | 34228  |  8.752% | 0      |  0.000% | 
 | 9    | Zygarde            | 12.49481% | 12695  |  3.246% | 0      |  0.000% | 
 | 10   | Zapdos             | 11.75509% | 30199  |  7.722% | 0      |  0.000% | 
 | 11   | Kommo-o            | 11.59766% | 22982  |  5.876% | 0      |  0.000% | 
 | 12   | Amoonguss          | 11.19975% | 27304  |  6.981% | 0      |  0.000% | 
 | 13   | Tapu Bulu          | 10.56701% | 19748  |  5.049% | 0      |  0.000% | 
 | 14   | Mew                |  9.62653% | 17145  |  4.384% | 0      |  0.000% | 
 | 15   | Diancie            |  9.10304% | 10497  |  2.684% | 0      |  0.000% | 
 | 16   | Volcarona          |  8.40212% | 23096  |  5.905% | 0      |  0.000% | 
 | 17   | Porygon2           |  8.28842% | 17433  |  4.457% | 0      |  0.000% | 
 | 18   | Volcanion          |  7.84812% | 13111  |  3.352% | 0      |  0.000% | 
 | 19   | Gastrodon          |  7.83676% | 25319  |  6.474% | 0      |  0.000% | 
 | 20   | Salamence-Mega     |  7.33619% | 18058  |  4.617% | 0      |  0.000% | 
 | 21   | Hoopa-Unbound      |  7.20803% | 8947   |  2.288% | 0      |  0.000% | 
 | 22   | Whimsicott         |  7.20658% | 24452  |  6.252% | 0      |  0.000% | 
 | 23   | Pelipper           |  6.87407% | 25873  |  6.616% | 0      |  0.000% | 
 | 24   | Kyurem-Black       |  6.78493% | 11201  |  2.864% | 0      |  0.000% | 
 | 25   | Cresselia          |  6.71441% | 18099  |  4.628% | 0      |  0.000% | 
