 Total battles: 2122031
 Avg. weight/team: 0.066
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 52.23676% | 1278656 | 30.128% | 1095546 | 33.926% | 
 | 2    | Magearna           | 24.85798% | 496947 | 11.709% | 394913 | 12.229% | 
 | 3    | Tapu Koko          | 24.69054% | 757957 | 17.859% | 601066 | 18.613% | 
 | 4    | Kartana            | 22.34494% | 515637 | 12.150% | 380420 | 11.780% | 
 | 5    | Greninja-Ash       | 19.93126% | 645361 | 15.206% | 481732 | 14.918% | 
 | 6    | Toxapex            | 16.57602% | 504902 | 11.897% | 389848 | 12.072% | 
 | 7    | Tapu Lele          | 16.35207% | 389056 |  9.167% | 290614 |  8.999% | 
 | 8    | Ferrothorn         | 15.41147% | 568674 | 13.399% | 484102 | 14.991% | 
 | 9    | Zygarde            | 15.37359% | 337503 |  7.952% | 247440 |  7.662% | 
 | 10   | Heatran            | 15.28104% | 491161 | 11.573% | 398589 | 12.343% | 
 | 11   | Tapu Bulu          | 11.51574% | 293525 |  6.916% | 224330 |  6.947% | 
 | 12   | Blacephalon        | 10.52301% | 391933 |  9.235% | 285623 |  8.845% | 
 | 13   | Scizor-Mega        | 10.27606% | 300704 |  7.085% | 235725 |  7.300% | 
 | 14   | Greninja           | 10.21869% | 375986 |  8.859% | 289099 |  8.952% | 
 | 15   | Hawlucha           |  9.84302% | 298735 |  7.039% | 205715 |  6.370% | 
 | 16   | Excadrill          |  9.60010% | 337203 |  7.945% | 261769 |  8.106% | 
 | 17   | Zapdos             |  9.17767% | 288437 |  6.796% | 227679 |  7.050% | 
 | 18   | Clefable           |  8.99989% | 249038 |  5.868% | 183215 |  5.674% | 
 | 19   | Tyranitar          |  8.55438% | 317680 |  7.485% | 246919 |  7.646% | 
 | 20   | Chansey            |  8.35523% | 298458 |  7.032% | 224878 |  6.964% | 
 | 21   | Celesteela         |  8.04569% | 338573 |  7.978% | 267516 |  8.284% | 
 | 22   | Keldeo             |  7.96902% | 196361 |  4.627% | 149211 |  4.621% | 
 | 23   | Pinsir-Mega        |  7.93948% | 180287 |  4.248% | 125368 |  3.882% | 
 | 24   | Mimikyu            |  7.24730% | 321098 |  7.566% | 225066 |  6.970% | 
 | 25   | Lopunny-Mega       |  6.92152% | 279896 |  6.595% | 214719 |  6.649% | 
 | 26   | Skarmory           |  6.52003% | 260756 |  6.144% | 216644 |  6.709% | 
 | 27   | Medicham-Mega      |  6.39722% | 175556 |  4.137% | 135247 |  4.188% | 
 | 28   | Latios             |  6.37015% | 217619 |  5.128% | 155599 |  4.818% | 
 | 29   | Magnezone          |  6.23816% | 238976 |  5.631% | 186777 |  5.784% | 
 | 30   | Kyurem-Black       |  6.06807% | 188698 |  4.446% | 138138 |  4.278% | 
 | 31   | Gyarados-Mega      |  5.99188% | 166756 |  3.929% | 127184 |  3.938% | 
 | 32   | Tangrowth          |  5.63208% | 192823 |  4.543% | 147739 |  4.575% | 
 | 33   | Mawile-Mega        |  5.62084% | 165280 |  3.894% | 120618 |  3.735% | 
 | 34   | Mew                |  5.42730% | 196077 |  4.620% | 151490 |  4.691% | 
 | 35   | Bisharp            |  5.32351% | 259621 |  6.117% | 179603 |  5.562% | 
 | 36   | Tapu Fini          |  5.28263% | 245048 |  5.774% | 198092 |  6.134% | 
 | 37   | Diancie-Mega       |  4.96903% | 157189 |  3.704% | 122430 |  3.791% | 
 | 38   | Garchomp           |  4.68742% | 322910 |  7.609% | 243442 |  7.539% | 
 | 39   | Alakazam-Mega      |  4.57913% | 205144 |  4.834% | 137961 |  4.272% | 
 | 40   | Pelipper           |  4.39317% | 179550 |  4.231% | 162866 |  5.043% | 
 | 41   | Charizard-Mega-X   |  4.31208% | 267810 |  6.310% | 199600 |  6.181% | 
 | 42   | Victini            |  4.30426% | 156275 |  3.682% | 116884 |  3.620% | 
 | 43   | Venusaur-Mega      |  3.96633% | 213927 |  5.041% | 163778 |  5.072% | 
 | 44   | Swampert-Mega      |  3.96622% | 177492 |  4.182% | 143642 |  4.448% | 
 | 45   | Volcarona          |  3.96265% | 257027 |  6.056% | 182298 |  5.645% | 
 | 46   | Sableye-Mega       |  3.75493% | 120937 |  2.850% | 103570 |  3.207% | 
 | 47   | Rotom-Wash         |  3.62258% | 178784 |  4.213% | 150867 |  4.672% | 
 | 48   | Tyranitar-Mega     |  3.39084% | 135730 |  3.198% | 101604 |  3.146% | 
 | 49   | Tornadus-Therian   |  3.04324% | 77570  |  1.828% | 59990  |  1.858% | 
 | 50   | Stakataka          |  2.98161% | 154718 |  3.646% | 115917 |  3.590% | 
 | 51   | Hoopa-Unbound      |  2.97419% | 68740  |  1.620% | 48652  |  1.507% | 
 | 52   | Dragonite          |  2.95422% | 265861 |  6.264% | 189900 |  5.881% | 
 | 53   | Marowak-Alola      |  2.84366% | 182230 |  4.294% | 135658 |  4.201% | 
 | 54   | Ditto              |  2.77768% | 72695  |  1.713% | 52209  |  1.617% | 
 | 55   | Latias-Mega        |  2.74839% | 46243  |  1.090% | 33338  |  1.032% | 
 | 56   | Charizard-Mega-Y   |  2.65590% | 219033 |  5.161% | 169028 |  5.234% | 
 | 57   | Jirachi            |  2.58416% | 89887  |  2.118% | 68932  |  2.135% | 
 | 58   | Latios-Mega        |  2.57078% | 51259  |  1.208% | 37110  |  1.149% | 
 | 59   | Gliscor            |  2.49690% | 176262 |  4.153% | 136662 |  4.232% | 
 | 60   | Kommo-o            |  2.39372% | 112680 |  2.655% | 82195  |  2.545% | 
 | 61   | Ribombee           |  2.27668% | 80592  |  1.899% | 72235  |  2.237% | 
 | 62   | Gengar             |  2.25001% | 228871 |  5.393% | 158882 |  4.920% | 
 | 63   | Serperior          |  2.23558% | 138843 |  3.271% | 101074 |  3.130% | 
 | 64   | Azumarill          |  2.18752% | 113664 |  2.678% | 87009  |  2.694% | 
 | 65   | Kingdra            |  2.06019% | 110696 |  2.608% | 77152  |  2.389% | 
 | 66   | Cresselia          |  2.01345% | 65003  |  1.532% | 50203  |  1.555% | 
 | 67   | Manaphy            |  1.91515% | 76087  |  1.793% | 55563  |  1.721% | 
 | 68   | Mantine            |  1.88918% | 54602  |  1.287% | 43038  |  1.333% | 
 | 69   | Gyarados           |  1.86902% | 98617  |  2.324% | 75313  |  2.332% | 
 | 70   | Quagsire           |  1.77946% | 39935  |  0.941% | 29850  |  0.924% | 
 | 71   | Ninetales-Alola    |  1.76587% | 138358 |  3.260% | 109517 |  3.391% | 
 | 72   | Araquanid          |  1.75838% | 70919  |  1.671% | 60391  |  1.870% | 
 | 73   | Shuckle            |  1.74083% | 73543  |  1.733% | 66112  |  2.047% | 
 | 74   | Hippowdon          |  1.70392% | 53990  |  1.272% | 46214  |  1.431% | 
 | 75   | Weavile            |  1.69786% | 134107 |  3.160% | 96829  |  2.998% | 
 | 76   | Amoonguss          |  1.65890% | 50586  |  1.192% | 37843  |  1.172% | 
 | 77   | Gastrodon          |  1.39572% | 49599  |  1.169% | 39495  |  1.223% | 
 | 78   | Muk-Alola          |  1.38671% | 72323  |  1.704% | 56291  |  1.743% | 
 | 79   | Thundurus          |  1.32756% | 49906  |  1.176% | 38138  |  1.181% | 
 | 80   | Lycanroc-Dusk      |  1.24149% | 159834 |  3.766% | 115766 |  3.585% | 
 | 81   | Crawdaunt          |  1.22763% | 42159  |  0.993% | 30289  |  0.938% | 
 | 82   | Xurkitree          |  1.18481% | 87202  |  2.055% | 62267  |  1.928% | 
 | 83   | Thundurus-Therian  |  1.15641% | 78207  |  1.843% | 60867  |  1.885% | 
 | 84   | Mamoswine          |  1.15497% | 65260  |  1.538% | 53086  |  1.644% | 
 | 85   | Uxie               |  1.07288% | 32286  |  0.761% | 30040  |  0.930% | 
 | 86   | Manectric-Mega     |  1.06713% | 74863  |  1.764% | 59519  |  1.843% | 
 | 87   | Buzzwole           |  1.02351% | 67549  |  1.592% | 49170  |  1.523% | 
 | 88   | Hydreigon          |  1.00013% | 58773  |  1.385% | 42974  |  1.331% | 
 | 89   | Alomomola          |  0.94523% | 24854  |  0.586% | 18617  |  0.577% | 
 | 90   | Breloom            |  0.93311% | 87517  |  2.062% | 65564  |  2.030% | 
 | 91   | Nidoking           |  0.90681% | 55336  |  1.304% | 42445  |  1.314% | 
 | 92   | Heracross-Mega     |  0.87674% | 54710  |  1.289% | 38600  |  1.195% | 
 | 93   | Camerupt-Mega      |  0.87603% | 23675  |  0.558% | 18453  |  0.571% | 
 | 94   | Terrakion          |  0.86215% | 22001  |  0.518% | 16029  |  0.496% | 
 | 95   | Volcanion          |  0.83835% | 50019  |  1.179% | 39191  |  1.214% | 
 | 96   | Staraptor          |  0.77375% | 66002  |  1.555% | 48465  |  1.501% | 
 | 97   | Latias             |  0.76187% | 40356  |  0.951% | 28597  |  0.886% | 
 | 98   | Reuniclus          |  0.73935% | 27476  |  0.647% | 19947  |  0.618% | 
 | 99   | Aerodactyl-Mega    |  0.72737% | 36068  |  0.850% | 26620  |  0.824% | 
 | 100  | Gallade-Mega       |  0.71538% | 72979  |  1.720% | 51017  |  1.580% | 
 | 101  | Suicune            |  0.71507% | 33469  |  0.789% | 25076  |  0.777% | 
 | 102  | Druddigon          |  0.71480% | 19915  |  0.469% | 18398  |  0.570% | 
 | 103  | Porygon2           |  0.71303% | 55258  |  1.302% | 42319  |  1.310% | 
 | 104  | Mimikyu-Totem      |  0.69747% | 40180  |  0.947% | 28575  |  0.885% | 
 | 105  | Scizor             |  0.69139% | 85233  |  2.008% | 63638  |  1.971% | 
 | 106  | Gardevoir-Mega     |  0.66777% | 64582  |  1.522% | 43752  |  1.355% | 
 | 107  | Slowbro-Mega       |  0.66044% | 32231  |  0.759% | 24146  |  0.748% | 
 | 108  | Mandibuzz          |  0.65997% | 39292  |  0.926% | 29696  |  0.920% | 
 | 109  | Nihilego           |  0.64194% | 49305  |  1.162% | 37786  |  1.170% | 
 | 110  | Salamence          |  0.63897% | 83930  |  1.978% | 59613  |  1.846% | 
 | 111  | Diggersby          |  0.63462% | 26731  |  0.630% | 20009  |  0.620% | 
 | 112  | Slowbro            |  0.62285% | 34135  |  0.804% | 25483  |  0.789% | 
 | 113  | Azelf              |  0.59323% | 34817  |  0.820% | 31693  |  0.981% | 
 | 114  | Beedrill-Mega      |  0.58722% | 89051  |  2.098% | 66691  |  2.065% | 
 | 115  | Infernape          |  0.55480% | 95510  |  2.250% | 72068  |  2.232% | 
 | 116  | Seismitoad         |  0.54299% | 15486  |  0.365% | 12985  |  0.402% | 
 | 117  | Conkeldurr         |  0.54133% | 73817  |  1.739% | 55567  |  1.721% | 
 | 118  | Porygon-Z          |  0.53548% | 66198  |  1.560% | 47078  |  1.458% | 
 | 119  | Sharpedo-Mega      |  0.52934% | 25234  |  0.595% | 17779  |  0.551% | 
 | 120  | Klefki             |  0.49077% | 34573  |  0.815% | 28786  |  0.891% | 
 | 121  | Alakazam           |  0.47885% | 54455  |  1.283% | 36395  |  1.127% | 
 | 122  | Blissey            |  0.46654% | 43076  |  1.015% | 31140  |  0.964% | 
 | 123  | Smeargle           |  0.45181% | 48996  |  1.154% | 44509  |  1.378% | 
 | 124  | Talonflame         |  0.43891% | 47771  |  1.126% | 34478  |  1.068% | 
 | 125  | Scolipede          |  0.42768% | 35280  |  0.831% | 26013  |  0.806% | 
 | 126  | Xatu               |  0.42557% | 17309  |  0.408% | 13396  |  0.415% | 
 | 127  | Necrozma           |  0.41572% | 18650  |  0.439% | 14123  |  0.437% | 
 | 128  | Garchomp-Mega      |  0.41348% | 61337  |  1.445% | 43834  |  1.357% | 
 | 129  | Tornadus           |  0.39852% | 6777   |  0.160% | 5047   |  0.156% | 
 | 130  | Starmie            |  0.39337% | 65085  |  1.534% | 47404  |  1.468% | 
 | 131  | Cloyster           |  0.39150% | 66970  |  1.578% | 50272  |  1.557% | 
 | 132  | Altaria-Mega       |  0.37368% | 32700  |  0.770% | 22800  |  0.706% | 
 | 133  | Shedinja           |  0.36976% | 19787  |  0.466% | 13552  |  0.420% | 
 | 134  | Empoleon           |  0.36113% | 39889  |  0.940% | 31374  |  0.972% | 
 | 135  | Torkoal            |  0.32927% | 26975  |  0.636% | 23831  |  0.738% | 
 | 136  | Snorlax            |  0.31682% | 75250  |  1.773% | 55060  |  1.705% | 
 | 137  | Goodra             |  0.31149% | 69754  |  1.644% | 51887  |  1.607% | 
 | 138  | Slowking           |  0.31113% | 11408  |  0.269% | 8615   |  0.267% | 
 | 139  | Donphan            |  0.31004% | 35841  |  0.844% | 30003  |  0.929% | 
 | 140  | Sceptile-Mega      |  0.30806% | 55393  |  1.305% | 39295  |  1.217% | 
 | 141  | Tentacruel         |  0.30475% | 45796  |  1.079% | 35173  |  1.089% | 
 | 142  | Houndoom-Mega      |  0.29587% | 28007  |  0.660% | 20031  |  0.620% | 
 | 143  | Entei              |  0.29212% | 17571  |  0.414% | 13431  |  0.416% | 
 | 144  | Primarina          |  0.28054% | 41630  |  0.981% | 31634  |  0.980% | 
 | 145  | Forretress         |  0.27890% | 42026  |  0.990% | 36460  |  1.129% | 
 | 146  | Omastar            |  0.27873% | 10505  |  0.248% | 7950   |  0.246% | 
 | 147  | Celebi             |  0.27305% | 16981  |  0.400% | 12535  |  0.388% | 
 | 148  | Metagross          |  0.26463% | 61595  |  1.451% | 46000  |  1.424% | 
 | 149  | Togekiss           |  0.26190% | 64694  |  1.524% | 46766  |  1.448% | 
 | 150  | Abomasnow-Mega     |  0.26178% | 15022  |  0.354% | 11828  |  0.366% | 
 | 151  | Arcanine           |  0.25773% | 77927  |  1.836% | 59401  |  1.839% | 
 | 152  | Bronzong           |  0.25649% | 20906  |  0.493% | 17601  |  0.545% | 
 | 153  | Umbreon            |  0.24759% | 60733  |  1.431% | 42633  |  1.320% | 
 | 154  | Galvantula         |  0.23828% | 56685  |  1.336% | 49662  |  1.538% | 
 | 155  | Venusaur           |  0.23753% | 33347  |  0.786% | 23883  |  0.740% | 
 | 156  | Aerodactyl         |  0.23036% | 15596  |  0.367% | 13134  |  0.407% | 
 | 157  | Slurpuff           |  0.22823% | 23053  |  0.543% | 17947  |  0.556% | 
 | 158  | Espeon             |  0.22701% | 62491  |  1.472% | 45698  |  1.415% | 
 | 159  | Rotom-Heat         |  0.21814% | 24026  |  0.566% | 19643  |  0.608% | 
 | 160  | Qwilfish           |  0.21667% | 4947   |  0.117% | 3733   |  0.116% | 
 | 161  | Pyukumuku          |  0.21234% | 14785  |  0.348% | 11158  |  0.346% | 
 | 162  | Slaking            |  0.21026% | 11906  |  0.281% | 8653   |  0.268% | 
 | 163  | Darmanitan         |  0.20820% | 42057  |  0.991% | 31388  |  0.972% | 
 | 164  | Avalugg            |  0.20801% | 8554   |  0.202% | 6234   |  0.193% | 
 | 165  | Kyurem             |  0.20291% | 7133   |  0.168% | 5099   |  0.158% | 
 | 166  | Golisopod          |  0.20026% | 35779  |  0.843% | 27216  |  0.843% | 
 | 167  | Steelix-Mega       |  0.20001% | 13188  |  0.311% | 10394  |  0.322% | 
 | 168  | Lycanroc           |  0.19973% | 17764  |  0.419% | 13282  |  0.411% | 
 | 169  | Raikou             |  0.19667% | 23079  |  0.544% | 16922  |  0.524% | 
 | 170  | Heracross          |  0.19650% | 17781  |  0.419% | 12239  |  0.379% | 
 | 171  | Cofagrigus         |  0.19501% | 31252  |  0.736% | 24249  |  0.751% | 
 | 172  | Raichu-Alola       |  0.19215% | 33999  |  0.801% | 23841  |  0.738% | 
 | 173  | Vaporeon           |  0.18841% | 25131  |  0.592% | 18695  |  0.579% | 
 | 174  | Kabutops           |  0.18746% | 12830  |  0.302% | 8967   |  0.278% | 
 | 175  | Swampert           |  0.18421% | 29747  |  0.701% | 24591  |  0.762% | 
 | 176  | Blastoise-Mega     |  0.16211% | 33004  |  0.778% | 25207  |  0.781% | 
 | 177  | Salazzle           |  0.15909% | 38503  |  0.907% | 27818  |  0.861% | 
 | 178  | Lucario            |  0.15449% | 51144  |  1.205% | 36235  |  1.122% | 
 | 179  | Politoed           |  0.15376% | 29690  |  0.700% | 25528  |  0.791% | 
 | 180  | Chandelure         |  0.15132% | 56136  |  1.323% | 41013  |  1.270% | 
 | 181  | Krookodile         |  0.14787% | 38326  |  0.903% | 29316  |  0.908% | 
 | 182  | Crobat             |  0.14720% | 49630  |  1.169% | 36461  |  1.129% | 
 | 183  | Glalie-Mega        |  0.14522% | 7526   |  0.177% | 5346   |  0.166% | 
 | 184  | Marowak-Alola-Totem |  0.14005% | 16322  |  0.385% | 11872  |  0.368% | 
 | 185  | Feraligatr         |  0.13722% | 27709  |  0.653% | 20163  |  0.624% | 
 | 186  | Whimsicott         |  0.13665% | 32194  |  0.759% | 24134  |  0.747% | 
 | 187  | Milotic            |  0.13624% | 48844  |  1.151% | 37195  |  1.152% | 
 | 188  | Hoopa              |  0.13474% | 3808   |  0.090% | 2627   |  0.081% | 
 | 189  | Roserade           |  0.13443% | 24732  |  0.583% | 17998  |  0.557% | 
 | 190  | Pidgeot-Mega       |  0.13412% | 31824  |  0.750% | 23562  |  0.730% | 
 | 191  | Rhyperior          |  0.13170% | 21045  |  0.496% | 16370  |  0.507% | 
 | 192  | Chesnaught         |  0.13148% | 13378  |  0.315% | 9921   |  0.307% | 
 | 193  | Absol-Mega         |  0.12310% | 23652  |  0.557% | 17850  |  0.553% | 
 | 194  | Sandslash-Alola    |  0.12164% | 17065  |  0.402% | 12911  |  0.400% | 
 | 195  | Nidoqueen          |  0.12157% | 10155  |  0.239% | 8261   |  0.256% | 
 | 196  | Dhelmise           |  0.12143% | 16129  |  0.380% | 11833  |  0.366% | 
 | 197  | Zoroark            |  0.11899% | 29659  |  0.699% | 14151  |  0.438% | 
 | 198  | Toxicroak          |  0.11877% | 17847  |  0.421% | 12925  |  0.400% | 
 | 199  | Sylveon            |  0.11494% | 47121  |  1.110% | 32335  |  1.001% | 
 | 200  | Banette-Mega       |  0.11447% | 16341  |  0.385% | 12130  |  0.376% | 
 | 201  | Sceptile           |  0.11286% | 18887  |  0.445% | 13014  |  0.403% | 
 | 202  | Accelgor           |  0.11117% | 11159  |  0.263% | 8768   |  0.272% | 
 | 203  | Decidueye          |  0.11082% | 39087  |  0.921% | 28387  |  0.879% | 
 | 204  | Aggron-Mega        |  0.10829% | 28904  |  0.681% | 23320  |  0.722% | 
 | 205  | Ninetales          |  0.10469% | 23027  |  0.543% | 18105  |  0.561% | 
 | 206  | Victreebel         |  0.10103% | 5972   |  0.141% | 4212   |  0.130% | 
 | 207  | Exploud            |  0.09594% | 6818   |  0.161% | 5025   |  0.156% | 
 | 208  | Ampharos-Mega      |  0.09588% | 18441  |  0.435% | 12942  |  0.401% | 
 | 209  | Jolteon            |  0.09357% | 56331  |  1.327% | 42811  |  1.326% | 
 | 210  | Doublade           |  0.09054% | 10775  |  0.254% | 8074   |  0.250% | 
 | 211  | Haxorus            |  0.08984% | 29226  |  0.689% | 19411  |  0.601% | 
 | 212  | Swellow            |  0.08580% | 19106  |  0.450% | 13470  |  0.417% | 
 | 213  | Swirlix            |  0.08246% | 2285   |  0.054% | 2165   |  0.067% | 
 | 214  | Dragalge           |  0.08232% | 12026  |  0.283% | 8587   |  0.266% | 
 | 215  | Poliwrath          |  0.08083% | 7980   |  0.188% | 5913   |  0.183% | 
 | 216  | Incineroar         |  0.08061% | 27582  |  0.650% | 20472  |  0.634% | 
 | 217  | Ludicolo           |  0.07691% | 18701  |  0.441% | 13256  |  0.410% | 
 | 218  | Stunfisk           |  0.07296% | 3743   |  0.088% | 3091   |  0.096% | 
 | 219  | Tsareena           |  0.07204% | 20228  |  0.477% | 14652  |  0.454% | 
 | 220  | Clamperl           |  0.07153% | 2426   |  0.057% | 1605   |  0.050% | 
 | 221  | Jellicent          |  0.07106% | 12001  |  0.283% | 8886   |  0.275% | 
 | 222  | Florges            |  0.06910% | 24668  |  0.581% | 17100  |  0.530% | 
 | 223  | Machamp            |  0.06900% | 26111  |  0.615% | 19654  |  0.609% | 
 | 224  | Articuno           |  0.06866% | 8002   |  0.189% | 5902   |  0.183% | 
 | 225  | Minior             |  0.06806% | 21055  |  0.496% | 15322  |  0.474% | 
 | 226  | Lurantis           |  0.06663% | 13828  |  0.326% | 10209  |  0.316% | 
